Location,Obesity Percentage,Lower Limit,Upper Limit
"WebsterCounty,Georgia",25.2,12.6,43.2
"WheelerCounty,Georgia",31.9,18.6,48.9
"WhiteCounty,Georgia",28.6,19.2,40.2
"WhitfieldCounty,Georgia",34.5,27.6,42.4
"WilcoxCounty,Georgia",40.7,27.9,53.5
"WilkesCounty,Georgia",29.8,18.8,44.5
"WilkinsonCounty,Georgia",35.4,22.2,50.8
"WorthCounty,Georgia",51.7,38.9,63.9
"HawaiiCounty,Hawaii",26.2,24.7,27.8
"HonoluluCounty,Hawaii",23.7,22.8,24.5
"KalawaoCounty,Hawaii",17.6,6.1,35.3
"KauaiCounty,Hawaii",21.5,19.7,23.4
"MauiCounty,Hawaii",24.2,22.7,25.7
"AdaCounty,Idaho",25.3,23.3,27.3
"AdamsCounty,Idaho",30.2,21.7,40
"BannockCounty,Idaho",32,28.8,35.4
"BearLakeCounty,Idaho",26.2,18.6,35.5
"BenewahCounty,Idaho",31.8,24.3,40.4
"BinghamCounty,Idaho",31,26.7,35.2
"BlaineCounty,Idaho",14.6,10.7,19.2
"BoiseCounty,Idaho",30,21.6,39
"BonnerCounty,Idaho",25.2,20.9,29.7
"BonnevilleCounty,Idaho",28.9,26.1,31.7
"BoundaryCounty,Idaho",28.1,20.9,36.3
"ButteCounty,Idaho",28.3,19.5,37.8
"CamasCounty,Idaho",23.3,14.8,35.5
"CanyonCounty,Idaho",34.8,32.2,37.8
"CaribouCounty,Idaho",29.8,22.4,38.3
"CassiaCounty,Idaho",37.9,31.8,43.8
"ClarkCounty,Idaho",28,17.1,43.9
"ClearwaterCounty,Idaho",32.6,25.8,40.9
"CusterCounty,Idaho",27,20.2,35.5
"ElmoreCounty,Idaho",35.3,26.9,43.9
"FranklinCounty,Idaho",33.4,26.7,40
"FremontCounty,Idaho",29.8,23,37.6
"GemCounty,Idaho",37.3,31,44
"GoodingCounty,Idaho",33.9,26.9,41.3
"IdahoCounty,Idaho",32.8,27.6,37.7
"JeffersonCounty,Idaho",31.7,26.6,37.3
"JeromeCounty,Idaho",31.8,25.7,38.1
"KootenaiCounty,Idaho",26.1,23.5,29
"LatahCounty,Idaho",24,20.5,27.7
"LemhiCounty,Idaho",23.4,17.4,30
"LewisCounty,Idaho",27.7,20.5,36.5
"LincolnCounty,Idaho",28.5,20.1,38.3
"MadisonCounty,Idaho",28.5,23.9,33.2
"MinidokaCounty,Idaho",34,27.5,41
"NezPerceCounty,Idaho",30.8,27.1,34.8
"OneidaCounty,Idaho",28.9,20.5,38.2
"OwyheeCounty,Idaho",40,31.6,48.4
"PayetteCounty,Idaho",34.6,28.5,41.5
"PowerCounty,Idaho",35.4,26.4,45.4
"ShoshoneCounty,Idaho",36.2,28.3,43.6
"TetonCounty,Idaho",20.9,14.9,27.4
"TwinFallsCounty,Idaho",33,29.3,36.7
"ValleyCounty,Idaho",27.5,19.5,37.3
"WashingtonCounty,Idaho",35.2,27.4,43.1
"AdamsCounty,Illinois",37,28.1,46.6
"AlexanderCounty,Illinois",25.6,13.6,41.1
"BondCounty,Illinois",24.8,15,38.2
"BooneCounty,Illinois",33.1,24.7,42.6
"BrownCounty,Illinois",23.5,14.5,36
"BureauCounty,Illinois",26.7,18.5,36.5
"CalhounCounty,Illinois",36.3,22,52.4
"CarrollCounty,Illinois",24.4,15.3,36.2
"CassCounty,Illinois",34.5,21.9,48.6
"ChampaignCounty,Illinois",31.1,25.7,37
"ChristianCounty,Illinois",28.7,19.3,40
"ClarkCounty,Illinois",36.8,24.5,51.2
"ClayCounty,Illinois",22.1,13.8,33.4
"ClintonCounty,Illinois",39,28,50.7
"ColesCounty,Illinois",36.8,27.1,47.6
"CookCounty,Illinois",27.7,26.5,29
"CrawfordCounty,Illinois",26.8,16.8,39
"CumberlandCounty,Illinois",32.1,19.2,45.6
"DeWittCounty,Illinois",26.4,16.1,40
"DekalbCounty,Illinois",31.7,26.1,38.3
"DouglasCounty,Illinois",30.8,19.7,45.6
"DupageCounty,Illinois",26.4,23.4,29.3
"EdgarCounty,Illinois",30.4,19.5,43.5
"EdwardsCounty,Illinois",29.6,18.3,42.3
"EffinghamCounty,Illinois",26.5,18.2,36.9
"FayetteCounty,Illinois",23.5,15.4,34.7
"FordCounty,Illinois",24.4,15,36.5
"FranklinCounty,Illinois",25.9,17.3,36.7
"FultonCounty,Illinois",28.5,19,39
"GallatinCounty,Illinois",22,13.5,35.1
"GreeneCounty,Illinois",27.4,17.4,40.5
"GrundyCounty,Illinois",34.6,25,45.2
"HamiltonCounty,Illinois",24.4,14.9,37.2
"HancockCounty,Illinois",30.5,20.9,41.4
"HardinCounty,Illinois",22.9,13.7,36.2
"HendersonCounty,Illinois",25.2,15.4,38.3
"HenryCounty,Illinois",36.8,27.9,46.1
"IroquoisCounty,Illinois",28.6,18.3,41.1
"JacksonCounty,Illinois",24,16.5,33.2
"JasperCounty,Illinois",23.8,14.6,35.5
"JeffersonCounty,Illinois",33.2,23.5,44.2
"JerseyCounty,Illinois",33.6,23,45.9
"JoDaviessCounty,Illinois",28.2,19.1,39.8
"JohnsonCounty,Illinois",24,14.4,37.4
"KaneCounty,Illinois",28.2,24.7,32.4
"KankakeeCounty,Illinois",41.4,33,50
"KendallCounty,Illinois",31.2,24.2,38.5
"KnoxCounty,Illinois",29.2,20.4,38.9
"LakeCounty,Illinois",25,21.9,28.4
"LasalleCounty,Illinois",27.6,21.2,35.3
"LawrenceCounty,Illinois",22.1,13.8,34.6
"LeeCounty,Illinois",37.6,26.1,49.9
"LivingstonCounty,Illinois",34.5,24.9,44.3
"LoganCounty,Illinois",36.1,24.5,49.3
"MaconCounty,Illinois",31.5,23.9,41.1
"MacoupinCounty,Illinois",27.4,18.5,37.7
"MadisonCounty,Illinois",36.8,31.2,42.7
"MarionCounty,Illinois",29.4,19.4,41.1
"MarshallCounty,Illinois",25.3,16,37.6
"MasonCounty,Illinois",28.9,17.9,42.7
"MassacCounty,Illinois",33.7,21.4,48.1
"McdonoughCounty,Illinois",35.1,24.8,47.4
"MchenryCounty,Illinois",32.6,27.2,37.5
"McleanCounty,Illinois",33.4,26.9,40.1
"MenardCounty,Illinois",29.2,18.3,43.6
"MercerCounty,Illinois",32.6,22.1,43.9
"MonroeCounty,Illinois",36.2,25.2,48.3
"MontgomeryCounty,Illinois",30.7,20.4,42.7
"MorganCounty,Illinois",32,22.4,43
"MoultrieCounty,Illinois",24.3,14.4,37
"OgleCounty,Illinois",37,28,46.7
"PeoriaCounty,Illinois",36,29.3,42.8
"PerryCounty,Illinois",31.9,19.8,45.6
"PiattCounty,Illinois",23.8,15,35.4
"PikeCounty,Illinois",29.3,18.8,41.9
"PopeCounty,Illinois",25.3,15.3,39.5
"PulaskiCounty,Illinois",34.7,19,54.3
"PutnamCounty,Illinois",24.5,15.2,38
"RandolphCounty,Illinois",26.7,17.1,37.5
"RichlandCounty,Illinois",27.5,17.4,39.1
"RockIslandCounty,Illinois",33.6,27.5,40.4
"SalineCounty,Illinois",26.4,16.2,39.3
"SangamonCounty,Illinois",30.3,24.4,36.4
"SchuylerCounty,Illinois",24.6,15.3,37.9
"ScottCounty,Illinois",27.1,16.3,42.4
"ShelbyCounty,Illinois",32,21,44
"St.ClairCounty,Illinois",36.8,31.2,42.7
"StarkCounty,Illinois",24.4,15.7,37.3
"StephensonCounty,Illinois",33.8,24.7,44.7
"TazewellCounty,Illinois",32.2,26.1,39.1
"UnionCounty,Illinois",37.3,24.9,51.7
"VermilionCounty,Illinois",41.5,32.3,50.8
"WabashCounty,Illinois",35.5,23.3,50.2
"WarrenCounty,Illinois",25.4,15.8,38.3
"WashingtonCounty,Illinois",27.3,17.6,38.7
"WayneCounty,Illinois",30.8,19.4,44.9
"WhiteCounty,Illinois",29,18.4,43.4
"WhitesideCounty,Illinois",33.5,24.9,42.5
"WillCounty,Illinois",31.4,28.1,35.2
"WilliamsonCounty,Illinois",26.3,18.6,34.9
"WinnebagoCounty,Illinois",33.3,28.2,38.3
"WoodfordCounty,Illinois",26,17.7,36.8
"AdamsCounty,Indiana",34.8,27.6,43.3
"AllenCounty,Indiana",32.2,29.6,34.9
"BartholomewCounty,Indiana",32,27,37.2
"BentonCounty,Indiana",32.9,23.3,43.5
"BlackfordCounty,Indiana",34.1,24.4,44.6
"BooneCounty,Indiana",26.9,22,32.4
"BrownCounty,Indiana",30.9,23.2,39.2
"CarrollCounty,Indiana",37.5,29.2,45.7
"CassCounty,Indiana",31.8,25.5,39.1
"ClarkCounty,Indiana",36.8,32.3,41.5
"ClayCounty,Indiana",35.8,28.3,44
"ClintonCounty,Indiana",38.6,31,46.3
"CrawfordCounty,Indiana",28.7,20.2,39.6
"DaviessCounty,Indiana",36.6,28.4,45.2
"DearbornCounty,Indiana",33.5,27.3,40
"DecaturCounty,Indiana",33.2,26.7,41.1
"DekalbCounty,Indiana",29.8,23.5,36.8
"DelawareCounty,Indiana",34.1,29.4,39.2
"DuboisCounty,Indiana",28.7,22.9,34.9
"ElkhartCounty,Indiana",33.5,29.5,37.7
"FayetteCounty,Indiana",37.6,29.7,45.6
"FloydCounty,Indiana",34.6,29.3,40.1
"FountainCounty,Indiana",31.7,22.4,42.2
"FranklinCounty,Indiana",36.9,28.3,45.8
"FultonCounty,Indiana",38.7,30.1,47.9
"GibsonCounty,Indiana",28.6,21.3,36.4
"GrantCounty,Indiana",37.3,31.4,43.8
"GreeneCounty,Indiana",38.6,31.7,46.3
"HamiltonCounty,Indiana",25.5,23,28.1
"HancockCounty,Indiana",37.3,32.3,42.3
"HarrisonCounty,Indiana",38.7,32.5,45.5
"HendricksCounty,Indiana",31.2,27.3,35.5
"HenryCounty,Indiana",29.1,22.7,35.9
"HowardCounty,Indiana",35,29.6,40.4
"HuntingtonCounty,Indiana",37.6,29.9,45
"JacksonCounty,Indiana",29.7,23.9,36.1
"JasperCounty,Indiana",35.9,29,43.3
"JayCounty,Indiana",35,26.5,44.2
"JeffersonCounty,Indiana",35,28.5,41.7
"JenningsCounty,Indiana",39.4,31.6,47.8
"JohnsonCounty,Indiana",31.3,27.3,35
"KnoxCounty,Indiana",34.4,26.9,41.9
"KosciuskoCounty,Indiana",34.4,28.7,40.2
"LagrangeCounty,Indiana",37.1,28.6,45.5
"LakeCounty,Indiana",35.5,32.8,38.2
"LaporteCounty,Indiana",37.1,32.8,42.1
"LawrenceCounty,Indiana",32.1,25.5,39.3
"MadisonCounty,Indiana",39,34,44.3
"MarionCounty,Indiana",32.4,30.7,34.1
"MarshallCounty,Indiana",41.7,34,49.1
"MartinCounty,Indiana",42.5,31.7,53.9
"MiamiCounty,Indiana",36.8,29.4,44.9
"MonroeCounty,Indiana",25.5,22.3,28.9
"MontgomeryCounty,Indiana",24.5,19,30.6
"MorganCounty,Indiana",36.2,30.6,41.7
"NewtonCounty,Indiana",30,22,39.2
"NobleCounty,Indiana",38.6,31.2,46.3
"OhioCounty,Indiana",35.2,23.9,47.8
"OrangeCounty,Indiana",35.6,27,44.4
"OwenCounty,Indiana",31,23.8,39.2
"ParkeCounty,Indiana",29,21.3,38
"PerryCounty,Indiana",35.7,27.4,44.7
"PikeCounty,Indiana",38.4,27.5,51.2
"PorterCounty,Indiana",33.3,29.8,36.7
"PoseyCounty,Indiana",31,23,39.5
"PulaskiCounty,Indiana",30.6,21.1,42.1
"PutnamCounty,Indiana",30.3,23.9,37.7
"RandolphCounty,Indiana",36.3,28.6,45.2
"RipleyCounty,Indiana",31.3,24.8,37.9
"RushCounty,Indiana",29.3,20.5,39.2
"ScottCounty,Indiana",32.1,24.8,39.7
"ShelbyCounty,Indiana",36.8,30.7,43.3
"SpencerCounty,Indiana",35.9,27.1,44.9
"St.JosephCounty,Indiana",32.7,29.5,36.2
"StarkeCounty,Indiana",32.4,24.1,41.7
"SteubenCounty,Indiana",29.4,23.4,36.8
"SullivanCounty,Indiana",30.3,22.5,39.7
"SwitzerlandCounty,Indiana",34.3,24.9,44.8
"TippecanoeCounty,Indiana",32.7,29.1,36.5
"TiptonCounty,Indiana",34.5,26,44.1
"UnionCounty,Indiana",23.3,15.3,33.4
"VanderburghCounty,Indiana",34.1,30.3,38.1
"VermillionCounty,Indiana",41.2,32.1,50.2
"VigoCounty,Indiana",34.5,29.1,39.7
"WabashCounty,Indiana",34.1,26.7,42.4
"WarrenCounty,Indiana",34.1,24.5,44.8
"WarrickCounty,Indiana",34.7,28.6,41.1
"WashingtonCounty,Indiana",40.2,32.5,48.3
"WayneCounty,Indiana",37.7,31.9,43.5
"WellsCounty,Indiana",34.2,26.4,41.9
"WhiteCounty,Indiana",28.5,21.5,36.5
"WhitleyCounty,Indiana",36,28.8,44.2
"AdairCounty,Iowa",31.3,22.1,42.4
"AdamsCounty,Iowa",29.7,20.5,41.4
"AllamakeeCounty,Iowa",34.6,26.5,43.3
"AppanooseCounty,Iowa",37.3,28.7,47.5
"AudubonCounty,Iowa",29.6,20.4,40.9
"BentonCounty,Iowa",35.9,28.9,43.7
"BlackHawkCounty,Iowa",30.5,26.9,33.7
"BooneCounty,Iowa",35.5,28.3,42.5
"BremerCounty,Iowa",32.7,25.6,41.1
"BuchananCounty,Iowa",32.6,26.2,39.8
"BuenaVistaCounty,Iowa",33.8,28.3,40.4
"ButlerCounty,Iowa",33.2,25.5,42
"CalhounCounty,Iowa",36.4,27.7,45.8
"CarrollCounty,Iowa",33.9,27.1,40.7
"CassCounty,Iowa",34.1,26.9,42
"CedarCounty,Iowa",34.5,26.8,43
"CerroGordoCounty,Iowa",30,24.6,35.9
"CherokeeCounty,Iowa",35.1,26.7,44.7
"ChickasawCounty,Iowa",29.5,21.3,38.8
"ClarkeCounty,Iowa",36.4,26.2,47.9
"ClayCounty,Iowa",34.9,26.8,43.4
"ClaytonCounty,Iowa",35.8,28.3,44
"ClintonCounty,Iowa",32.8,27.5,38.7
"CrawfordCounty,Iowa",33.3,26.4,40.9
"DallasCounty,Iowa",28.4,24.4,32.5
"DavisCounty,Iowa",24.6,17.4,33.6
"DecaturCounty,Iowa",40.9,32,50.4
"DelawareCounty,Iowa",31.4,24.4,39.1
"DesMoinesCounty,Iowa",37.3,31.9,43.2
"DickinsonCounty,Iowa",27.8,20.7,36.1
"DubuqueCounty,Iowa",33.3,29,38.1
"EmmetCounty,Iowa",40.5,30.5,50.8
"FayetteCounty,Iowa",33.3,25.9,41.1
"FloydCounty,Iowa",41.3,32.9,50
"FranklinCounty,Iowa",46.8,36.3,57.7
"FremontCounty,Iowa",32.1,24.2,41.7
"GreeneCounty,Iowa",42.3,32.5,52.7
"GrundyCounty,Iowa",30.7,23.1,39.7
"GuthrieCounty,Iowa",33.4,24.6,42.3
"HamiltonCounty,Iowa",32.7,24.7,41
"HancockCounty,Iowa",34.3,25.4,44.5
"HardinCounty,Iowa",42.6,34.7,50.6
"HarrisonCounty,Iowa",40.1,31.7,49.7
"HenryCounty,Iowa",34.6,27,42.6
"HowardCounty,Iowa",31.6,21.9,43.8
"HumboldtCounty,Iowa",28.7,20.4,38.2
"IdaCounty,Iowa",29.9,20.4,40.3
"IowaCounty,Iowa",31.3,24.2,38.8
"JacksonCounty,Iowa",30.1,22.7,38.5
"JasperCounty,Iowa",36.5,30.1,43.4
"JeffersonCounty,Iowa",28.1,20.8,35.8
"JohnsonCounty,Iowa",26.6,23.2,30.1
"JonesCounty,Iowa",37.8,29.8,46.5
"KeokukCounty,Iowa",36.8,27.2,46.3
"KossuthCounty,Iowa",36.2,28.1,45.3
"LeeCounty,Iowa",40.9,34.4,47.8
"LinnCounty,Iowa",34.5,31.4,37.7
"LouisaCounty,Iowa",37.5,28.6,46.4
"LucasCounty,Iowa",30.5,21.1,41.6
"LyonCounty,Iowa",39.4,31,48
"MadisonCounty,Iowa",36.9,28.7,46.1
"MahaskaCounty,Iowa",33,26,41
"MarionCounty,Iowa",34,27.7,41.1
"MarshallCounty,Iowa",34.5,28.6,40.8
"MillsCounty,Iowa",32.3,24.6,41.6
"MitchellCounty,Iowa",31.5,23.8,41
"MononaCounty,Iowa",38.7,27.8,49.3
"MonroeCounty,Iowa",33.6,23.8,44.2
"MontgomeryCounty,Iowa",25.1,18.5,33.2
"MuscatineCounty,Iowa",36.5,31.1,42.1
"ObrienCounty,Iowa",27.8,20.2,35.7
"OsceolaCounty,Iowa",31.4,22.1,42.1
"PageCounty,Iowa",44.5,35.8,53
"PaloAltoCounty,Iowa",31.4,21.7,42.8
"PlymouthCounty,Iowa",32.2,25.1,40.2
"PocahontasCounty,Iowa",37.9,27.9,49.1
"PolkCounty,Iowa",31.8,29.6,33.7
"PottawattamieCounty,Iowa",41.2,37.5,45.7
"PoweshiekCounty,Iowa",31.3,24.6,38.3
"RinggoldCounty,Iowa",32.7,23.5,44.2
"SacCounty,Iowa",29.9,21.6,38.8
"ScottCounty,Iowa",32.7,29.4,36.1
"ShelbyCounty,Iowa",34.9,26.3,44.5
"SiouxCounty,Iowa",28.5,23.1,34.4
"StoryCounty,Iowa",26.9,23.1,30.6
"TamaCounty,Iowa",35.6,27.7,44.3
"TaylorCounty,Iowa",32,22.7,42.9
"UnionCounty,Iowa",41.1,32.3,50.5
"VanBurenCounty,Iowa",32.9,23.8,43.6
"WapelloCounty,Iowa",32.2,25.4,39.8
"WarrenCounty,Iowa",33.9,28.3,39.8
"WashingtonCounty,Iowa",34,26.9,41
"WayneCounty,Iowa",39.2,28.1,50.8
"WebsterCounty,Iowa",37.6,31.8,43.8
"WinnebagoCounty,Iowa",40,29.8,49.5
"WinneshiekCounty,Iowa",33,26,40.5
"WoodburyCounty,Iowa",35.4,31,39.8
"WorthCounty,Iowa",31.8,23,41.8
"WrightCounty,Iowa",36.8,27.6,46.5
"AllenCounty,Kansas",38.8,32.7,44.9
"AndersonCounty,Kansas",35.2,28.6,42.2
"AtchisonCounty,Kansas",44.3,38.8,50.1
"BarberCounty,Kansas",26.6,20.4,33.3
"BartonCounty,Kansas",39.1,34.4,43.9
"BourbonCounty,Kansas",35.1,29.7,40.4
"BrownCounty,Kansas",37.4,31.2,43.5
"ButlerCounty,Kansas",35.3,32,38.7
"ChaseCounty,Kansas",34.8,25.9,45.2
"ChautauquaCounty,Kansas",32.2,23.4,41.9
"CherokeeCounty,Kansas",42.4,37.1,47.7
"CheyenneCounty,Kansas",32.4,23,41.9
"ClarkCounty,Kansas",31.8,22.9,42.7
"ClayCounty,Kansas",28.6,23,34.7
"CloudCounty,Kansas",41.1,35,47.7
"CoffeyCounty,Kansas",38.5,32,45.2
"ComancheCounty,Kansas",26,17.7,36.2
"CowleyCounty,Kansas",39.1,34.6,43.9
"CrawfordCounty,Kansas",33.8,30.5,37.1
"DecaturCounty,Kansas",31.4,22.4,41
"DickinsonCounty,Kansas",35.9,31.5,40.1
"DoniphanCounty,Kansas",37.4,29.9,45.5
"DouglasCounty,Kansas",28.2,26.3,30.2
"EdwardsCounty,Kansas",38.7,27.9,49.9
"ElkCounty,Kansas",33.2,24.8,41.7
"EllisCounty,Kansas",30,26,34.2
"EllsworthCounty,Kansas",36.9,28.7,45.3
"FinneyCounty,Kansas",36.1,32.1,40.6
"FordCounty,Kansas",30.7,26,35.5
"FranklinCounty,Kansas",32.6,28.4,36.5
"GearyCounty,Kansas",38.9,34.4,43.4
"GoveCounty,Kansas",28.4,20.5,36.8
"GrahamCounty,Kansas",30.3,21.7,39.4
"GrantCounty,Kansas",31.6,24.7,40
"GrayCounty,Kansas",31,24.5,37.1
"GreeleyCounty,Kansas",27.9,18.2,40.2
"GreenwoodCounty,Kansas",37.3,30,44.6
"HamiltonCounty,Kansas",39.1,29.4,49.7
"HarperCounty,Kansas",37.1,29,45.7
"HarveyCounty,Kansas",31.1,27.1,35.2
"HaskellCounty,Kansas",33.5,24.8,43.1
"HodgemanCounty,Kansas",35.3,26,45.2
"JacksonCounty,Kansas",37.6,31.8,43.6
"JeffersonCounty,Kansas",34.7,29.8,39.9
"JewellCounty,Kansas",28.7,21.2,37.2
"JohnsonCounty,Kansas",26.9,25.9,28
"KearnyCounty,Kansas",34.8,26.2,43.8
"KingmanCounty,Kansas",31.5,24.4,38.2
"KiowaCounty,Kansas",29.6,21.1,39.6
"LabetteCounty,Kansas",37.5,32.4,42.8
"LaneCounty,Kansas",30.7,20.9,41.6
"LeavenworthCounty,Kansas",36.7,33.7,39.6
"LincolnCounty,Kansas",32.7,24.7,42
"LinnCounty,Kansas",40.6,34.8,47.2
"LoganCounty,Kansas",31.3,23,40.9
"LyonCounty,Kansas",39.4,35.3,43.4
"MarionCounty,Kansas",41,34.6,47.5
"MarshallCounty,Kansas",35.4,29.9,41.2
"McphersonCounty,Kansas",30.9,26.9,35
"MeadeCounty,Kansas",35.1,25.5,44.8
"MiamiCounty,Kansas",35,31.3,39
"MitchellCounty,Kansas",29.5,23.2,36.4
"MontgomeryCounty,Kansas",41.1,37,45.3
"MorrisCounty,Kansas",39.5,32.5,47
"MortonCounty,Kansas",29.1,21.2,37.6
"NemahaCounty,Kansas",33.4,28,39.4
"NeoshoCounty,Kansas",38.6,32.6,44.8
"NessCounty,Kansas",33.3,24.4,43.2
"NortonCounty,Kansas",29.9,22.7,38.3
"OsageCounty,Kansas",39.5,33.9,45.2
"OsborneCounty,Kansas",28.4,21.3,36.5
"OttawaCounty,Kansas",33.2,26.4,40.6
"PawneeCounty,Kansas",37,30.6,44.3
"PhillipsCounty,Kansas",34.2,26.9,41.7
"PottawatomieCounty,Kansas",31.1,27.4,34.9
"PrattCounty,Kansas",33.3,27,39.6
"RawlinsCounty,Kansas",26.8,19.1,35.6
"RenoCounty,Kansas",36.2,33,39.5
"RepublicCounty,Kansas",35.3,27.6,44
"RiceCounty,Kansas",37.5,30.8,44.3
"RileyCounty,Kansas",26.4,24,28.8
"RooksCounty,Kansas",35.6,28.2,43
"RushCounty,Kansas",39.2,30,48.2
"RussellCounty,Kansas",33.1,26.6,40.8
"SalineCounty,Kansas",34.5,31.5,37.4
"ScottCounty,Kansas",39.7,31.6,47.8
"SedgwickCounty,Kansas",33.5,32.4,34.7
"SewardCounty,Kansas",35.7,29.8,42.3
"ShawneeCounty,Kansas",37.2,35.2,39.1
"SheridanCounty,Kansas",22.4,15.6,31.4
"ShermanCounty,Kansas",40,31.9,48.2
"SmithCounty,Kansas",38.3,28.8,48.6
"StaffordCounty,Kansas",31.6,24.4,40.3
"StantonCounty,Kansas",38.3,28.1,49.6
"StevensCounty,Kansas",37.9,29,46.7
"SumnerCounty,Kansas",43,37.5,48.1
"ThomasCounty,Kansas",33.4,27.4,40.1
"TregoCounty,Kansas",36.8,28,46.8
"WabaunseeCounty,Kansas",32.3,25.7,40.2
"WallaceCounty,Kansas",24.9,16.9,35.2
"WashingtonCounty,Kansas",33.4,26.5,40.8
"WichitaCounty,Kansas",36.2,29,43.6
"WilsonCounty,Kansas",40.7,34.5,47.5
"WoodsonCounty,Kansas",38.4,29.5,48.4
"WyandotteCounty,Kansas",39.3,37.2,41.5
"AdairCounty,Kentucky",41.6,33.2,50.1
"AllenCounty,Kentucky",38.3,30.6,46.5
"AndersonCounty,Kentucky",36.7,27.3,46.8
"BallardCounty,Kentucky",36.5,27.6,46.1
"BarrenCounty,Kentucky",33.8,28.2,39.9
"BathCounty,Kentucky",42.2,34.1,51.1
"BellCounty,Kentucky",37.4,30.3,44.4
"BooneCounty,Kentucky",35.6,30.9,40.3
"BourbonCounty,Kentucky",30,20.5,40.9
"BoydCounty,Kentucky",40.7,36.5,45.5
"BoyleCounty,Kentucky",28.3,20.1,38
"BrackenCounty,Kentucky",31.7,23,42.1
"BreathittCounty,Kentucky",38.1,32.1,45
"BreckinridgeCounty,Kentucky",23.3,17.1,30.4
"BullittCounty,Kentucky",34,28.7,39.5
"ButlerCounty,Kentucky",30.9,22.9,40.8
"CaldwellCounty,Kentucky",33.8,25.3,42.7
"CallowayCounty,Kentucky",33.1,27.2,39
"CampbellCounty,Kentucky",31,26.1,36.2
"CarlisleCounty,Kentucky",26.6,18.1,36.1
"CarrollCounty,Kentucky",29,19.7,39.1
"CarterCounty,Kentucky",40,34.5,46.3
"CaseyCounty,Kentucky",35.3,28.3,43
"ChristianCounty,Kentucky",34.3,30,38.6
"ClarkCounty,Kentucky",36.1,27.8,44.9
"ClayCounty,Kentucky",36.2,28.8,44.2
"ClintonCounty,Kentucky",34.7,26.7,43.8
"CrittendenCounty,Kentucky",30.7,22.3,40.2
"CumberlandCounty,Kentucky",37.7,28,48.9
"DaviessCounty,Kentucky",31,27.2,35.3
"EdmonsonCounty,Kentucky",36.1,26.7,45.9
"ElliottCounty,Kentucky",39.9,30.8,50
"EstillCounty,Kentucky",40.3,30.1,50.5
"FayetteCounty,Kentucky",26.7,23.9,29.6
"FlemingCounty,Kentucky",33.9,27,41.8
"FloydCounty,Kentucky",41.2,36.2,46.3
"FranklinCounty,Kentucky",37.4,29.8,45.2
"FultonCounty,Kentucky",39.9,27.6,53.5
"GallatinCounty,Kentucky",29.3,20,40.2
"GarrardCounty,Kentucky",39.3,29,50.2
"GrantCounty,Kentucky",33.2,24.7,42.1
"GravesCounty,Kentucky",35,29.2,41
"GraysonCounty,Kentucky",37.5,31.1,44.6
"GreenCounty,Kentucky",34.5,26.7,43.5
"GreenupCounty,Kentucky",40,35.4,45.1
"HancockCounty,Kentucky",29.9,21.6,39.8
"HardinCounty,Kentucky",37.8,33.8,41.8
"HarlanCounty,Kentucky",32.2,25.8,39.3
"HarrisonCounty,Kentucky",35.8,25.2,48.1
"HartCounty,Kentucky",30,22.6,38.5
"HendersonCounty,Kentucky",35.8,30.2,41.9
"HenryCounty,Kentucky",27.9,20.5,36.2
"HickmanCounty,Kentucky",29.4,20.2,40.7
"HopkinsCounty,Kentucky",36.1,31,41.6
"JacksonCounty,Kentucky",43.9,35.9,51.8
"JeffersonCounty,Kentucky",31.8,30.1,33.6
"JessamineCounty,Kentucky",33.5,25.9,41.7
"JohnsonCounty,Kentucky",44.2,38.5,50.2
"KentonCounty,Kentucky",33.1,29,37.6
"KnottCounty,Kentucky",41.4,35.5,47.5
"KnoxCounty,Kentucky",39.7,32.8,46.7
"LarueCounty,Kentucky",36.3,28,45.6
"LaurelCounty,Kentucky",39.1,33.8,44.4
"LawrenceCounty,Kentucky",40,33.3,47.3
"LeeCounty,Kentucky",39.4,30.5,48.8
"LeslieCounty,Kentucky",41.6,34.6,48.9
"LetcherCounty,Kentucky",38.6,32.7,45
"LewisCounty,Kentucky",43.9,35.5,52.8
"LincolnCounty,Kentucky",38.3,28.7,48.7
"LivingstonCounty,Kentucky",31.7,22.2,42.5
"LoganCounty,Kentucky",38.8,31.5,46.1
"LyonCounty,Kentucky",26.2,18,36.1
"MadisonCounty,Kentucky",35.2,29.4,41.8
"MagoffinCounty,Kentucky",36.8,30,44
"MarionCounty,Kentucky",37,30.1,44.8
"MarshallCounty,Kentucky",38.7,31.9,46.3
"MartinCounty,Kentucky",40.4,31.3,50
"MasonCounty,Kentucky",34.3,27.2,41.6
"MccrackenCounty,Kentucky",30,25.6,34.9
"MccrearyCounty,Kentucky",40.1,32.2,48.3
"McleanCounty,Kentucky",38.1,28.8,47.8
"MeadeCounty,Kentucky",36.6,30.4,43.7
"MenifeeCounty,Kentucky",32.4,24.1,42.1
"MercerCounty,Kentucky",26.3,16.5,38.7
"MetcalfeCounty,Kentucky",33.9,25.1,44.2
"MonroeCounty,Kentucky",37.1,28.6,46.8
"MontgomeryCounty,Kentucky",32.6,26.8,38.8
"MorganCounty,Kentucky",37.4,31.3,44.2
"MuhlenbergCounty,Kentucky",36,30.4,41.9
"NelsonCounty,Kentucky",34.7,28.2,41.5
"NicholasCounty,Kentucky",33,21.5,45.7
"OhioCounty,Kentucky",36,28.3,44.3
"OldhamCounty,Kentucky",20.8,15.9,26
