Location,Population,Obesity Percentage,Lower Limit,Upper Limit
"Bristol County,  Massachusetts",564022,28.7,26.3,31
"New Castle County,  Delaware",559335,28.3,26.8,30
"Union County,  New Jersey",558067,24.6,22.1,27.3
"Ramsey County,  Minnesota",550210,26,24.7,27.5
"Stanislaus County,  California",549815,30.4,25.9,35.3
"Volusia County,  Florida",547538,30.1,27.1,33.4
"Lancaster County,  Pennsylvania",543557,32.1,27.4,36.9
"Dane County,  Wisconsin",542364,22.5,19.6,25.3
"Summit County,  Ohio",541918,29.7,26.5,33
"Pasco County,  Florida",539630,32,28.8,35.3
"Kane County,  Illinois",534216,28.2,24.7,32.4
"Guilford County,  North Carolina",533670,33.3,29.7,37.2
"Montgomery County,  Ohio",532331,33.1,30,36.5
"Chester County,  Pennsylvania",522046,21.8,17.9,26
"Plymouth County,  Massachusetts",518132,27.7,25.4,30.1
"Spokane County,  Washington",514631,27.8,26,29.7
"Greenville County,  South Carolina",514213,28.3,26.1,30.6
"Sedgwick County,  Kansas",513607,33.5,32.4,34.7
"Adams County,  Colorado",511868,27.7,25.7,29.8
"Camden County,  New Jersey",507078,31.2,28.6,34.2
"Passaic County,  New Jersey",503310,27,24.4,30.1
"Sonoma County,  California",499942,22.2,18.8,25.9
"Morris County,  New Jersey",494228,20.4,18,23
"Polk County,  Iowa",487204,31.8,29.6,33.7
"Lake County,  Indiana",484411,35.5,32.8,38.2
"Clark County,  Washington",481857,30,27.9,32.4
"Richmond County,  New York",476179,27.1,24.1,30.1
"Hampden County,  Massachusetts",470406,31.2,28.6,34
"Ada County,  Idaho",469966,25.3,23.3,27.3
"Prince William County,  Virginia",468011,30,26.9,33.1
"Seminole County,  Florida",467832,26.3,23.3,29.4
"Tulare County,  California",465861,37.1,30.7,44
"Washoe County,  Nevada",465735,23.1,21.3,25
"Knox County,  Tennessee",465289,30.7,27.4,34.1
"Onondaga County,  New York",461809,29.4,26.6,32
"York County,  Pennsylvania",448273,31,27.1,35.4
"Pinal County,  Arizona",447138,33.3,30.7,35.8
"Solano County,  California",446610,30,25.2,34.7
"Santa Barbara County,  California",446527,24.6,20.4,29.5
"Burlington County,  New Jersey",445384,28.6,25.9,31.5
"East Baton Rouge Parish,  Louisiana",440956,31.9,29.1,34.9
"Monterey County,  California",435594,27.6,23,32.9
