Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Ford,  Illinois",7225,Restaurants and Other Eating Places,28,89.3,10.7,25
"Franklin,  Illinois",7225,Restaurants and Other Eating Places,65,83.1,16.9,54
"Fulton,  Illinois",7225,Restaurants and Other Eating Places,61,93.4,6.6,57
"Gallatin,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,5
"Greene,  Illinois",7225,Restaurants and Other Eating Places,16,81.3,18.8,13
"Grundy,  Illinois",7225,Restaurants and Other Eating Places,97,84.5,15.5,82
"Hamilton,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,8
"Hancock,  Illinois",7225,Restaurants and Other Eating Places,23,78.3,21.7,18
"Hardin,  Illinois",7225,Restaurants and Other Eating Places,6,50,50,3
"Henderson,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,7
"Henry,  Illinois",7225,Restaurants and Other Eating Places,79,93.7,6.3,74
"Iroquois,  Illinois",7225,Restaurants and Other Eating Places,46,78.3,21.7,36
"Jackson,  Illinois",7225,Restaurants and Other Eating Places,116,89.7,10.3,104
"Jasper,  Illinois",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"Jefferson,  Illinois",7225,Restaurants and Other Eating Places,65,92.3,7.7,60
"Jersey,  Illinois",7225,Restaurants and Other Eating Places,43,88.4,11.6,38
"Jo Daviess,  Illinois",7225,Restaurants and Other Eating Places,67,80.6,19.4,54
"Johnson,  Illinois",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"Kane,  Illinois",7225,Restaurants and Other Eating Places,856,86.7,13.3,742
"Kankakee,  Illinois",7225,Restaurants and Other Eating Places,186,88.7,11.3,165
"Kendall,  Illinois",7225,Restaurants and Other Eating Places,182,85.7,14.3,156
"Knox,  Illinois",7225,Restaurants and Other Eating Places,96,90.6,9.4,87
"Lake,  Illinois",7225,Restaurants and Other Eating Places,"1,370",88.5,11.5,"1,213"
"LaSalle,  Illinois",7225,Restaurants and Other Eating Places,260,81.9,18.1,213
"Lawrence,  Illinois",7225,Restaurants and Other Eating Places,18,72.2,27.8,13
"Lee,  Illinois",7225,Restaurants and Other Eating Places,58,89.7,10.3,52
"Livingston,  Illinois",7225,Restaurants and Other Eating Places,65,81.5,18.5,53
"Logan,  Illinois",7225,Restaurants and Other Eating Places,51,84.3,15.7,43
"McDonough,  Illinois",7225,Restaurants and Other Eating Places,65,86.2,13.8,56
"McHenry,  Illinois",7225,Restaurants and Other Eating Places,563,87.9,12.1,495
"McLean,  Illinois",7225,Restaurants and Other Eating Places,299,94,6,281
"Macon,  Illinois",7225,Restaurants and Other Eating Places,183,95.6,4.4,175
"Macoupin,  Illinois",7225,Restaurants and Other Eating Places,73,86.3,13.7,63
"Madison,  Illinois",7225,Restaurants and Other Eating Places,455,92.7,7.3,422
"Marion,  Illinois",7225,Restaurants and Other Eating Places,63,85.7,14.3,54
"Marshall,  Illinois",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"Mason,  Illinois",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"Massac,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,15
"Menard,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,12
"Mercer,  Illinois",7225,Restaurants and Other Eating Places,20,85,15,17
"Monroe,  Illinois",7225,Restaurants and Other Eating Places,56,94.6,5.4,53
"Montgomery,  Illinois",7225,Restaurants and Other Eating Places,59,84.7,15.3,50
"Morgan,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,47
"Moultrie,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,14
"Ogle,  Illinois",7225,Restaurants and Other Eating Places,86,86,14,74
"Peoria,  Illinois",7225,Restaurants and Other Eating Places,347,91.4,8.6,317
"Perry,  Illinois",7225,Restaurants and Other Eating Places,34,85.3,14.7,29
"Piatt,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,16
"Pike,  Illinois",7225,Restaurants and Other Eating Places,24,87.5,12.5,21
"Pope,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,1
"Pulaski,  Illinois",7225,Restaurants and Other Eating Places,6,50,50,3
"Putnam,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,13
"Randolph,  Illinois",7225,Restaurants and Other Eating Places,54,83.3,16.7,45
"Richland,  Illinois",7225,Restaurants and Other Eating Places,29,89.7,10.3,26
"Rock Island,  Illinois",7225,Restaurants and Other Eating Places,261,93.5,6.5,244
"St. Clair,  Illinois",7225,Restaurants and Other Eating Places,429,90.2,9.8,387
"Saline,  Illinois",7225,Restaurants and Other Eating Places,48,77.1,22.9,37
"Sangamon,  Illinois",7225,Restaurants and Other Eating Places,418,90.9,9.1,380
"Schuyler,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,7
"Scott,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,5
"Shelby,  Illinois",7225,Restaurants and Other Eating Places,26,88.5,11.5,23
"Stark,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,3
"Stephenson,  Illinois",7225,Restaurants and Other Eating Places,78,84.6,15.4,66
"Tazewell,  Illinois",7225,Restaurants and Other Eating Places,233,94.4,5.6,220
"Union,  Illinois",7225,Restaurants and Other Eating Places,32,87.5,12.5,28
"Vermilion,  Illinois",7225,Restaurants and Other Eating Places,117,86.3,13.7,101
"Wabash,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,14
"Warren,  Illinois",7225,Restaurants and Other Eating Places,24,75,25,18
"Washington,  Illinois",7225,Restaurants and Other Eating Places,D,D,D,17
"Wayne,  Illinois",7225,Restaurants and Other Eating Places,32,75,25,24
"White,  Illinois",7225,Restaurants and Other Eating Places,30,83.3,16.7,25
"Whiteside,  Illinois",7225,Restaurants and Other Eating Places,100,88,12,88
"Will,  Illinois",7225,Restaurants and Other Eating Places,"1,099",87.2,12.8,958
"Williamson,  Illinois",7225,Restaurants and Other Eating Places,116,91.4,8.6,106
"Winnebago,  Illinois",7225,Restaurants and Other Eating Places,506,89.9,10.1,455
"Woodford,  Illinois",7225,Restaurants and Other Eating Places,51,90.2,9.8,46
"Adams,  Indiana",7225,Restaurants and Other Eating Places,51,80.4,19.6,41
"Allen,  Indiana",7225,Restaurants and Other Eating Places,647,88.4,11.6,572
"Bartholomew,  Indiana",7225,Restaurants and Other Eating Places,157,93.6,6.4,147
"Benton,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,6
"Blackford,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,11
"Boone,  Indiana",7225,Restaurants and Other Eating Places,109,90.8,9.2,99
"Brown,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,17
"Carroll,  Indiana",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"Cass,  Indiana",7225,Restaurants and Other Eating Places,71,80.3,19.7,57
"Clark,  Indiana",7225,Restaurants and Other Eating Places,223,84.8,15.2,189
"Clay,  Indiana",7225,Restaurants and Other Eating Places,42,92.9,7.1,39
"Clinton,  Indiana",7225,Restaurants and Other Eating Places,50,88,12,44
"Crawford,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,13
"Daviess,  Indiana",7225,Restaurants and Other Eating Places,45,93.3,6.7,42
"Dearborn,  Indiana",7225,Restaurants and Other Eating Places,66,95.5,4.5,63
"Decatur,  Indiana",7225,Restaurants and Other Eating Places,45,86.7,13.3,39
"DeKalb,  Indiana",7225,Restaurants and Other Eating Places,74,90.5,9.5,67
"Delaware,  Indiana",7225,Restaurants and Other Eating Places,183,93.4,6.6,171
"Dubois,  Indiana",7225,Restaurants and Other Eating Places,91,94.5,5.5,86
"Elkhart,  Indiana",7225,Restaurants and Other Eating Places,321,92.2,7.8,296
"Fayette,  Indiana",7225,Restaurants and Other Eating Places,43,90.7,9.3,39
"Floyd,  Indiana",7225,Restaurants and Other Eating Places,150,89.3,10.7,134
"Fountain,  Indiana",7225,Restaurants and Other Eating Places,30,80,20,24
"Franklin,  Indiana",7225,Restaurants and Other Eating Places,37,75.7,24.3,28
"Fulton,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,38
"Gibson,  Indiana",7225,Restaurants and Other Eating Places,54,94.4,5.6,51
"Grant,  Indiana",7225,Restaurants and Other Eating Places,110,90.9,9.1,100
"Greene,  Indiana",7225,Restaurants and Other Eating Places,47,83,17,39
"Hamilton,  Indiana",7225,Restaurants and Other Eating Places,623,90.7,9.3,565
"Hancock,  Indiana",7225,Restaurants and Other Eating Places,97,86.6,13.4,84
"Harrison,  Indiana",7225,Restaurants and Other Eating Places,49,77.6,22.4,38
"Hendricks,  Indiana",7225,Restaurants and Other Eating Places,289,93.1,6.9,269
"Henry,  Indiana",7225,Restaurants and Other Eating Places,56,92.9,7.1,52
"Howard,  Indiana",7225,Restaurants and Other Eating Places,171,89.5,10.5,153
"Huntington,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,59
"Jackson,  Indiana",7225,Restaurants and Other Eating Places,81,85.2,14.8,69
"Jasper,  Indiana",7225,Restaurants and Other Eating Places,54,88.9,11.1,48
"Jay,  Indiana",7225,Restaurants and Other Eating Places,26,88.5,11.5,23
"Jefferson,  Indiana",7225,Restaurants and Other Eating Places,57,94.7,5.3,54
"Jennings,  Indiana",7225,Restaurants and Other Eating Places,32,59.4,40.6,19
"Johnson,  Indiana",7225,Restaurants and Other Eating Places,279,94.3,5.7,263
"Knox,  Indiana",7225,Restaurants and Other Eating Places,70,84.3,15.7,59
"Kosciusko,  Indiana",7225,Restaurants and Other Eating Places,151,94.7,5.3,143
"LaGrange,  Indiana",7225,Restaurants and Other Eating Places,57,80.7,19.3,46
"Lake,  Indiana",7225,Restaurants and Other Eating Places,943,84.3,15.7,795
"LaPorte,  Indiana",7225,Restaurants and Other Eating Places,189,92.1,7.9,174
"Lawrence,  Indiana",7225,Restaurants and Other Eating Places,49,89.8,10.2,44
"Madison,  Indiana",7225,Restaurants and Other Eating Places,189,93.7,6.3,177
"Marion,  Indiana",7225,Restaurants and Other Eating Places,"1,973",87.3,12.7,"1,723"
"Marshall,  Indiana",7225,Restaurants and Other Eating Places,79,91.1,8.9,72
"Martin,  Indiana",7225,Restaurants and Other Eating Places,24,83.3,16.7,20
"Miami,  Indiana",7225,Restaurants and Other Eating Places,49,89.8,10.2,44
"Monroe,  Indiana",7225,Restaurants and Other Eating Places,281,92.9,7.1,261
"Montgomery,  Indiana",7225,Restaurants and Other Eating Places,66,80.3,19.7,53
"Morgan,  Indiana",7225,Restaurants and Other Eating Places,85,84.7,15.3,72
"Newton,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,20
"Noble,  Indiana",7225,Restaurants and Other Eating Places,69,82.6,17.4,57
"Ohio,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,5
"Orange,  Indiana",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"Owen,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,16
"Parke,  Indiana",7225,Restaurants and Other Eating Places,20,80,20,16
"Perry,  Indiana",7225,Restaurants and Other Eating Places,32,78.1,21.9,25
"Pike,  Indiana",7225,Restaurants and Other Eating Places,S,S,S,11
"Porter,  Indiana",7225,Restaurants and Other Eating Places,301,87,13,262
"Posey,  Indiana",7225,Restaurants and Other Eating Places,31,71,29,22
"Pulaski,  Indiana",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"Putnam,  Indiana",7225,Restaurants and Other Eating Places,49,91.8,8.2,45
"Randolph,  Indiana",7225,Restaurants and Other Eating Places,37,81.1,18.9,30
"Ripley,  Indiana",7225,Restaurants and Other Eating Places,47,83,17,39
"Rush,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,20
"St. Joseph,  Indiana",7225,Restaurants and Other Eating Places,477,91,9,434
"Scott,  Indiana",7225,Restaurants and Other Eating Places,32,90.6,9.4,29
"Shelby,  Indiana",7225,Restaurants and Other Eating Places,66,90.9,9.1,60
"Spencer,  Indiana",7225,Restaurants and Other Eating Places,18,83.3,16.7,15
"Starke,  Indiana",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"Steuben,  Indiana",7225,Restaurants and Other Eating Places,79,84.8,15.2,67
"Sullivan,  Indiana",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"Switzerland,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,8
"Tippecanoe,  Indiana",7225,Restaurants and Other Eating Places,343,92.7,7.3,318
"Union,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,6
"Vanderburgh,  Indiana",7225,Restaurants and Other Eating Places,370,94.6,5.4,350
"Vermillion,  Indiana",7225,Restaurants and Other Eating Places,31,67.7,32.3,21
"Vigo,  Indiana",7225,Restaurants and Other Eating Places,213,92,8,196
"Wabash,  Indiana",7225,Restaurants and Other Eating Places,56,91.1,8.9,51
"Warren,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,4
"Warrick,  Indiana",7225,Restaurants and Other Eating Places,70,90,10,63
"Washington,  Indiana",7225,Restaurants and Other Eating Places,30,80,20,24
"Wayne,  Indiana",7225,Restaurants and Other Eating Places,131,92.4,7.6,121
"Wells,  Indiana",7225,Restaurants and Other Eating Places,35,82.9,17.1,29
"White,  Indiana",7225,Restaurants and Other Eating Places,D,D,D,47
"Whitley,  Indiana",7225,Restaurants and Other Eating Places,S,S,S,50
"Adair,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,10
"Allamakee,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,29
"Appanoose,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"Benton,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,17
"Black Hawk,  Iowa",7225,Restaurants and Other Eating Places,229,94.3,5.7,216
"Boone,  Iowa",7225,Restaurants and Other Eating Places,34,82.4,17.6,28
"Bremer,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,36
"Buchanan,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,24
"Buena Vista,  Iowa",7225,Restaurants and Other Eating Places,34,73.5,26.5,25
"Butler,  Iowa",7225,Restaurants and Other Eating Places,16,81.3,18.8,13
"Calhoun,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"Carroll,  Iowa",7225,Restaurants and Other Eating Places,37,86.5,13.5,32
"Cass,  Iowa",7225,Restaurants and Other Eating Places,27,81.5,18.5,22
"Cedar,  Iowa",7225,Restaurants and Other Eating Places,35,68.6,31.4,24
"Cerro Gordo,  Iowa",7225,Restaurants and Other Eating Places,110,87.3,12.7,96
"Cherokee,  Iowa",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"Chickasaw,  Iowa",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"Clarke,  Iowa",7225,Restaurants and Other Eating Places,12,75,25,9
"Clay,  Iowa",7225,Restaurants and Other Eating Places,50,88,12,44
"Clayton,  Iowa",7225,Restaurants and Other Eating Places,41,85.4,14.6,35
"Clinton,  Iowa",7225,Restaurants and Other Eating Places,80,87.5,12.5,70
"Crawford,  Iowa",7225,Restaurants and Other Eating Places,26,76.9,23.1,20
"Dallas,  Iowa",7225,Restaurants and Other Eating Places,139,89.2,10.8,124
"Davis,  Iowa",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"Decatur,  Iowa",7225,Restaurants and Other Eating Places,10,70,30,7
"Delaware,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"Des Moines,  Iowa",7225,Restaurants and Other Eating Places,82,95.1,4.9,78
"Dickinson,  Iowa",7225,Restaurants and Other Eating Places,59,89.8,10.2,53
"Dubuque,  Iowa",7225,Restaurants and Other Eating Places,181,89.5,10.5,162
"Emmet,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,16
"Fayette,  Iowa",7225,Restaurants and Other Eating Places,32,84.4,15.6,27
"Floyd,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,25
"Franklin,  Iowa",7225,Restaurants and Other Eating Places,16,75,25,12
"Fremont,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,11
"Greene,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,16
"Grundy,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"Guthrie,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"Hamilton,  Iowa",7225,Restaurants and Other Eating Places,23,73.9,26.1,17
"Hancock,  Iowa",7225,Restaurants and Other Eating Places,15,73.3,26.7,11
"Hardin,  Iowa",7225,Restaurants and Other Eating Places,26,80.8,19.2,21
"Harrison,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,17
"Henry,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,32
"Howard,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,12
"Humboldt,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,15
"Ida,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"Iowa,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,18
"Jackson,  Iowa",7225,Restaurants and Other Eating Places,37,89.2,10.8,33
"Jasper,  Iowa",7225,Restaurants and Other Eating Places,46,84.8,15.2,39
"Jefferson,  Iowa",7225,Restaurants and Other Eating Places,39,82.1,17.9,32
"Johnson,  Iowa",7225,Restaurants and Other Eating Places,338,92.6,7.4,313
"Jones,  Iowa",7225,Restaurants and Other Eating Places,28,82.1,17.9,23
"Keokuk,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"Kossuth,  Iowa",7225,Restaurants and Other Eating Places,30,76.7,23.3,23
"Lee,  Iowa",7225,Restaurants and Other Eating Places,71,83.1,16.9,59
"Linn,  Iowa",7225,Restaurants and Other Eating Places,428,91.4,8.6,391
"Louisa,  Iowa",7225,Restaurants and Other Eating Places,17,70.6,29.4,12
"Lucas,  Iowa",7225,Restaurants and Other Eating Places,13,69.2,30.8,9
"Lyon,  Iowa",7225,Restaurants and Other Eating Places,15,80,20,12
"Madison,  Iowa",7225,Restaurants and Other Eating Places,18,83.3,16.7,15
"Mahaska,  Iowa",7225,Restaurants and Other Eating Places,28,89.3,10.7,25
"Marion,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,47
"Marshall,  Iowa",7225,Restaurants and Other Eating Places,56,83.9,16.1,47
"Mills,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,14
"Mitchell,  Iowa",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"Monona,  Iowa",7225,Restaurants and Other Eating Places,17,82.4,17.6,14
"Monroe,  Iowa",7225,Restaurants and Other Eating Places,16,81.3,18.8,13
"Montgomery,  Iowa",7225,Restaurants and Other Eating Places,19,78.9,21.1,15
"Muscatine,  Iowa",7225,Restaurants and Other Eating Places,74,95.9,4.1,71
"O'Brien,  Iowa",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"Osceola,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"Page,  Iowa",7225,Restaurants and Other Eating Places,26,84.6,15.4,22
"Palo Alto,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,21
"Plymouth,  Iowa",7225,Restaurants and Other Eating Places,45,86.7,13.3,39
"Polk,  Iowa",7225,Restaurants and Other Eating Places,948,90.7,9.3,860
"Pottawattamie,  Iowa",7225,Restaurants and Other Eating Places,144,93.8,6.3,135
"Poweshiek,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,33
"Sac,  Iowa",7225,Restaurants and Other Eating Places,20,75,25,15
"Scott,  Iowa",7225,Restaurants and Other Eating Places,319,94.4,5.6,301
"Shelby,  Iowa",7225,Restaurants and Other Eating Places,17,76.5,23.5,13
"Sioux,  Iowa",7225,Restaurants and Other Eating Places,64,76.6,23.4,49
"Story,  Iowa",7225,Restaurants and Other Eating Places,170,91.2,8.8,155
"Tama,  Iowa",7225,Restaurants and Other Eating Places,23,82.6,17.4,19
"Taylor,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,4
"Van Buren,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,7
"Wapello,  Iowa",7225,Restaurants and Other Eating Places,65,89.2,10.8,58
"Warren,  Iowa",7225,Restaurants and Other Eating Places,59,74.6,25.4,44
"Washington,  Iowa",7225,Restaurants and Other Eating Places,35,88.6,11.4,31
"Wayne,  Iowa",7225,Restaurants and Other Eating Places,D,D,D,5
"Webster,  Iowa",7225,Restaurants and Other Eating Places,64,92.2,7.8,59
"Winneshiek,  Iowa",7225,Restaurants and Other Eating Places,41,87.8,12.2,36
"Woodbury,  Iowa",7225,Restaurants and Other Eating Places,213,91.1,8.9,194
"Wright,  Iowa",7225,Restaurants and Other Eating Places,28,85.7,14.3,24
"Allen,  Kansas",7225,Restaurants and Other Eating Places,25,84,16,21
"Anderson,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,13
"Atchison,  Kansas",7225,Restaurants and Other Eating Places,25,84,16,21
"Barber,  Kansas",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"Barton,  Kansas",7225,Restaurants and Other Eating Places,49,91.8,8.2,45
"Bourbon,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,23
"Brown,  Kansas",7225,Restaurants and Other Eating Places,24,79.2,20.8,19
"Butler,  Kansas",7225,Restaurants and Other Eating Places,97,89.7,10.3,87
"Chautauqua,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"Cherokee,  Kansas",7225,Restaurants and Other Eating Places,31,90.3,9.7,28
"Cheyenne,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Clark,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"Clay,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,13
"Cloud,  Kansas",7225,Restaurants and Other Eating Places,21,85.7,14.3,18
"Coffey,  Kansas",7225,Restaurants and Other Eating Places,20,70,30,14
"Comanche,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"Cowley,  Kansas",7225,Restaurants and Other Eating Places,52,84.6,15.4,44
"Crawford,  Kansas",7225,Restaurants and Other Eating Places,64,84.4,15.6,54
"Dickinson,  Kansas",7225,Restaurants and Other Eating Places,32,81.3,18.8,26
"Doniphan,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Douglas,  Kansas",7225,Restaurants and Other Eating Places,241,95,5,229
"Edwards,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,4
"Elk,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Ellis,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,63
"Ellsworth,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"Finney,  Kansas",7225,Restaurants and Other Eating Places,73,87.7,12.3,64
"Ford,  Kansas",7225,Restaurants and Other Eating Places,70,74.3,25.7,52
"Franklin,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,38
"Geary,  Kansas",7225,Restaurants and Other Eating Places,57,94.7,5.3,54
"Gove,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Graham,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"Grant,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,16
"Gray,  Kansas",7225,Restaurants and Other Eating Places,9,66.7,33.3,6
"Greenwood,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"Hamilton,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Harper,  Kansas",7225,Restaurants and Other Eating Places,17,76.5,23.5,13
"Harvey,  Kansas",7225,Restaurants and Other Eating Places,64,84.4,15.6,54
"Haskell,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Hodgeman,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,1
"Jackson,  Kansas",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
"Jefferson,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"Jewell,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Johnson,  Kansas",7225,Restaurants and Other Eating Places,"1,071",93.1,6.9,997
"Kingman,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"Kiowa,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,5
"Labette,  Kansas",7225,Restaurants and Other Eating Places,48,72.9,27.1,35
"Leavenworth,  Kansas",7225,Restaurants and Other Eating Places,89,87.6,12.4,78
"Lincoln,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"Linn,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,7
"Lyon,  Kansas",7225,Restaurants and Other Eating Places,67,88.1,11.9,59
"McPherson,  Kansas",7225,Restaurants and Other Eating Places,58,87.9,12.1,51
"Marion,  Kansas",7225,Restaurants and Other Eating Places,24,75,25,18
"Marshall,  Kansas",7225,Restaurants and Other Eating Places,18,77.8,22.2,14
"Meade,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Miami,  Kansas",7225,Restaurants and Other Eating Places,44,88.6,11.4,39
"Mitchell,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"Montgomery,  Kansas",7225,Restaurants and Other Eating Places,64,87.5,12.5,56
"Morris,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,14
"Morton,  Kansas",7225,Restaurants and Other Eating Places,7,57.1,42.9,4
"Nemaha,  Kansas",7225,Restaurants and Other Eating Places,20,85,15,17
"Neosho,  Kansas",7225,Restaurants and Other Eating Places,24,75,25,18
"Ness,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,3
"Norton,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,9
"Osage,  Kansas",7225,Restaurants and Other Eating Places,21,81,19,17
"Osborne,  Kansas",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Ottawa,  Kansas",7225,Restaurants and Other Eating Places,14,64.3,35.7,9
"Pawnee,  Kansas",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"Phillips,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,12
"Pottawatomie,  Kansas",7225,Restaurants and Other Eating Places,39,76.9,23.1,30
"Rawlins,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Reno,  Kansas",7225,Restaurants and Other Eating Places,111,89.2,10.8,99
"Republic,  Kansas",7225,Restaurants and Other Eating Places,12,58.3,41.7,7
"Rice,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,18
"Riley,  Kansas",7225,Restaurants and Other Eating Places,114,95.6,4.4,109
"Rooks,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"Rush,  Kansas",7225,Restaurants and Other Eating Places,11,63.6,36.4,7
"Russell,  Kansas",7225,Restaurants and Other Eating Places,16,62.5,37.5,10
"Saline,  Kansas",7225,Restaurants and Other Eating Places,101,96,4,97
"Sedgwick,  Kansas",7225,Restaurants and Other Eating Places,"1,016",90.9,9.1,924
"Seward,  Kansas",7225,Restaurants and Other Eating Places,42,73.8,26.2,31
"Shawnee,  Kansas",7225,Restaurants and Other Eating Places,319,93.7,6.3,299
"Sherman,  Kansas",7225,Restaurants and Other Eating Places,19,84.2,15.8,16
"Smith,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Stafford,  Kansas",7225,Restaurants and Other Eating Places,12,75,25,9
"Stanton,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,6
"Stevens,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,10
"Sumner,  Kansas",7225,Restaurants and Other Eating Places,35,88.6,11.4,31
"Thomas,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,18
"Trego,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,7
"Washington,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,9
"Wichita,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,2
"Wilson,  Kansas",7225,Restaurants and Other Eating Places,18,72.2,27.8,13
"Woodson,  Kansas",7225,Restaurants and Other Eating Places,D,D,D,8
"Wyandotte,  Kansas",7225,Restaurants and Other Eating Places,251,84.9,15.1,213
