Location,Household Total,Median,Mean
"JeffersonCounty,Kentucky",314161,51991,73595
"SantaClaraCounty,California",635687,111069,146813
"SantaCruzCounty,California",96257,77613,106035
"ShastaCounty,California",72095,46724,64293
"SolanoCounty,California",149172,73900,93929
"SonomaCounty,California",187504,73929,97005
"StanislausCounty,California",172881,54305,73567
"SutterCounty,California",32345,51397,69847
"TulareCounty,California",135648,45881,61897
"VenturaCounty,California",268091,80135,105609
"YoloCounty,California",73055,64904,91705
"YubaCounty,California",26699,49259,66815
"AdamsCounty,Colorado",163122,66033,80680
"ArapahoeCounty,Colorado",235942,70950,96722
"BoulderCounty,Colorado",123820,74615,105099
"BroomfieldCounty,Colorado",26269,84349,111621
"DenverCounty,Colorado",292003,61105,90835
"DouglasCounty,Colorado",120125,109292,134850
"ElPasoCounty,Colorado",257508,63882,80992
"JeffersonCounty,Colorado",230890,74186,96855
"LarimerCounty,Colorado",131407,66469,83934
"MesaCounty,Colorado",60188,48846,60280
"PuebloCounty,Colorado",62275,44677,59601
"WeldCounty,Colorado",102087,63400,81031
"FairfieldCounty,Connecticut",335318,90123,143628
"HartfordCounty,Connecticut",350369,69433,93118
"LitchfieldCounty,Connecticut",74105,76993,100472
"MiddlesexCounty,Connecticut",66002,79739,109052
"NewHavenCounty,Connecticut",327560,66176,87686
"NewLondonCounty,Connecticut",105113,70699,94956
"TollandCounty,Connecticut",54068,81252,99096
"WindhamCounty,Connecticut",44734,61608,75289
"KentCounty,Delaware",64452,54140,66154
"NewCastleCounty,Delaware",203782,67274,87144
"SussexCounty,Delaware",82851,57734,78917
"DistrictofColumbia,DistrictofColumbia",281241,75506,114432
"AlachuaCounty,Florida",94428,45304,63144
"BayCounty,Florida",70330,49157,65029
"BrevardCounty,Florida",226021,51184,70367
"BrowardCounty,Florida",681474,54212,79147
"CharlotteCounty,Florida",75147,44200,65643
"CitrusCounty,Florida",63581,39206,51521
"ClayCounty,Florida",74130,56315,74442
"CollierCounty,Florida",139522,61228,102009
"ColumbiaCounty,Florida",24215,42019,63101
"DuvalCounty,Florida",353946,51980,69765
"EscambiaCounty,Florida",118702,44788,60692
"FlaglerCounty,Florida",41311,49395,63011
"HernandoCounty,Florida",74262,47253,59673
"HighlandsCounty,Florida",38808,36490,48800
"HillsboroughCounty,Florida",514487,54588,76656
"IndianRiverCounty,Florida",55427,49072,79585
"LakeCounty,Florida",128888,50226,62886
"LeeCounty,Florida",261735,52909,74125
"LeonCounty,Florida",112119,51107,70567
"ManateeCounty,Florida",142465,51748,74782
"MarionCounty,Florida",134239,39383,54181
"MartinCounty,Florida",62976,54620,86713
"Miami-DadeCounty,Florida",880766,45935,71914
"MonroeCounty,Florida",30318,65717,87296
"NassauCounty,Florida",30547,71515,90747
"OkaloosaCounty,Florida",76102,60026,77492
"OrangeCounty,Florida",468515,51335,73013
"OsceolaCounty,Florida",97569,51436,61195
"PalmBeachCounty,Florida",536446,57580,89403
"PascoCounty,Florida",195628,46264,64970
"PinellasCounty,Florida",407268,50036,71244
"PolkCounty,Florida",226429,46355,61587
"PutnamCounty,Florida",28025,38239,48699
"St.JohnsCounty,Florida",84187,78581,107338
"St.LucieCounty,Florida",111617,44804,58817
"SantaRosaCounty,Florida",61817,63619,80033
"SarasotaCounty,Florida",176191,54989,79815
"SeminoleCounty,Florida",167549,61311,81857
"SumterCounty,Florida",51781,54562,68118
"VolusiaCounty,Florida",214039,45366,60941
"WaltonCounty,Florida",27207,56246,76992
"BarrowCounty,Georgia",24865,54256,63123
"BartowCounty,Georgia",36430,51405,65210
"BibbCounty,Georgia",57692,36724,55077
"BullochCounty,Georgia",26411,43982,55840
"CarrollCounty,Georgia",40516,51228,60771
"CatoosaCounty,Georgia",24743,55717,72197
"ChathamCounty,Georgia",110185,53964,76948
"CherokeeCounty,Georgia",84088,77950,97849
"ClarkeCounty,Georgia",47563,34999,54050
"ClaytonCounty,Georgia",94346,45252,55380
"CobbCounty,Georgia",277949,70947,94624
"ColumbiaCounty,Georgia",47513,72737,90016
"CowetaCounty,Georgia",50503,71220,92716
"DeKalbCounty,Georgia",281356,56109,82314
"DoughertyCounty,Georgia",34264,37222,55510
"DouglasCounty,Georgia",48901,62445,78151
"FayetteCounty,Georgia",40046,80626,112239
"FloydCounty,Georgia",35411,49865,66817
"ForsythCounty,Georgia",72208,100909,117651
"FultonCounty,Georgia",396184,63510,100521
"GlynnCounty,Georgia",31757,48926,68614
"GwinnettCounty,Georgia",290405,67155,86057
"HallCounty,Georgia",62038,54917,70477
"HenryCounty,Georgia",74473,66905,82479
"HoustonCounty,Georgia",55901,62493,74099
"LibertyCounty,Georgia",22952,45138,55306
"LowndesCounty,Georgia",40835,41449,60300
"MuscogeeCounty,Georgia",73051,40060,58832
"NewtonCounty,Georgia",35825,48628,64719
"PauldingCounty,Georgia",53249,60856,73020
"RichmondCounty,Georgia",75909,41419,54092
"RockdaleCounty,Georgia",30381,56820,70408
"TroupCounty,Georgia",24493,42371,56650
"WalkerCounty,Georgia",25110,39209,55681
"WaltonCounty,Georgia",30715,53202,69697
