,Location,Population,Lower Limit,Upper Limit,Household Total,Median,Mean
389,"LitchfieldCounty,Connecticut",,,,74105,76993,100472
390,"MiddlesexCounty,Connecticut",,,,66002,79739,109052
391,"TollandCounty,Connecticut",,,,54068,81252,99096
392,"WindhamCounty,Connecticut",,,,44734,61608,75289
393,"KentCounty,Delaware",,,,64452,54140,66154
394,"DistrictofColumbia,DistrictofColumbia",,,,281241,75506,114432
395,"BayCounty,Florida",,,,70330,49157,65029
396,"CharlotteCounty,Florida",,,,75147,44200,65643
397,"CitrusCounty,Florida",,,,63581,39206,51521
398,"ClayCounty,Florida",,,,74130,56315,74442
399,"ColumbiaCounty,Florida",,,,24215,42019,63101
400,"FlaglerCounty,Florida",,,,41311,49395,63011
401,"HernandoCounty,Florida",,,,74262,47253,59673
402,"HighlandsCounty,Florida",,,,38808,36490,48800
403,"IndianRiverCounty,Florida",,,,55427,49072,79585
404,"MartinCounty,Florida",,,,62976,54620,86713
405,"MonroeCounty,Florida",,,,30318,65717,87296
406,"NassauCounty,Florida",,,,30547,71515,90747
407,"OkaloosaCounty,Florida",,,,76102,60026,77492
408,"PutnamCounty,Florida",,,,28025,38239,48699
409,"SantaRosaCounty,Florida",,,,61817,63619,80033
410,"SumterCounty,Florida",,,,51781,54562,68118
411,"WaltonCounty,Florida",,,,27207,56246,76992
412,"BarrowCounty,Georgia",,,,24865,54256,63123
413,"BartowCounty,Georgia",,,,36430,51405,65210
414,"BibbCounty,Georgia",,,,57692,36724,55077
415,"BullochCounty,Georgia",,,,26411,43982,55840
416,"CarrollCounty,Georgia",,,,40516,51228,60771
417,"CatoosaCounty,Georgia",,,,24743,55717,72197
418,"ClarkeCounty,Georgia",,,,47563,34999,54050
419,"ColumbiaCounty,Georgia",,,,47513,72737,90016
420,"CowetaCounty,Georgia",,,,50503,71220,92716
421,"DeKalbCounty,Georgia",,,,281356,56109,82314
422,"DoughertyCounty,Georgia",,,,34264,37222,55510
423,"DouglasCounty,Georgia",,,,48901,62445,78151
424,"FayetteCounty,Georgia",,,,40046,80626,112239
425,"FloydCounty,Georgia",,,,35411,49865,66817
426,"GlynnCounty,Georgia",,,,31757,48926,68614
427,"HallCounty,Georgia",,,,62038,54917,70477
428,"HoustonCounty,Georgia",,,,55901,62493,74099
429,"LibertyCounty,Georgia",,,,22952,45138,55306
430,"LowndesCounty,Georgia",,,,40835,41449,60300
431,"MuscogeeCounty,Georgia",,,,73051,40060,58832
432,"NewtonCounty,Georgia",,,,35825,48628,64719
433,"PauldingCounty,Georgia",,,,53249,60856,73020
434,"RichmondCounty,Georgia",,,,75909,41419,54092
435,"RockdaleCounty,Georgia",,,,30381,56820,70408
436,"TroupCounty,Georgia",,,,24493,42371,56650
437,"WalkerCounty,Georgia",,,,25110,39209,55681
438,"WaltonCounty,Georgia",,,,30715,53202,69697
439,"WhitfieldCounty,Georgia",,,,35858,46399,62003
440,"HawaiiCounty,Hawaii",,,,69818,55750,74492
441,"KauaiCounty,Hawaii",,,,23214,71344,85866
442,"MauiCounty,Hawaii",,,,53612,72257,98524
443,"BannockCounty,Idaho",,,,30106,48429,64287
444,"BonnevilleCounty,Idaho",,,,38464,59706,75108
445,"CanyonCounty,Idaho",,,,69859,48437,57499
446,"KootenaiCounty,Idaho",,,,58875,51765,66843
447,"TwinFallsCounty,Idaho",,,,30119,51210,64321
448,"AdamsCounty,Illinois",,,,27414,51624,70474
449,"ChampaignCounty,Illinois",,,,81856,50335,70900
450,"DeKalbCounty,Illinois",,,,36690,59285,75593
451,"DuPageCounty,Illinois",,,,341320,84908,111236
452,"KankakeeCounty,Illinois",,,,39314,54911,68588
453,"KendallCounty,Illinois",,,,40752,90482,101320
454,"GrandTraverseCounty,Michigan",,,,37252,58532,81079
455,"IsabellaCounty,Michigan",,,,23920,41868,57935
456,"JacksonCounty,Michigan",,,,59993,50009,65570
457,"LapeerCounty,Michigan",,,,33178,54309,68702
458,"LenaweeCounty,Michigan",,,,37781,51918,67726
459,"LivingstonCounty,Michigan",,,,70787,78038,98029
460,"MarquetteCounty,Michigan",,,,25822,51275,63954
461,"MidlandCounty,Michigan",,,,34381,57269,78311
462,"MonroeCounty,Michigan",,,,58789,60799,74036
463,"MuskegonCounty,Michigan",,,,65437,44264,56512
464,"SaginawCounty,Michigan",,,,78494,45849,60525
465,"St.ClairCounty,Michigan",,,,65681,51864,65798
466,"ShiawasseeCounty,Michigan",,,,28071,53244,66951
467,"VanBurenCounty,Michigan",,,,29337,47917,69730
468,"BlueEarthCounty,Minnesota",,,,25687,53869,70588
469,"CarverCounty,Minnesota",,,,36784,92455,119835
470,"OlmstedCounty,Minnesota",,,,61357,72428,92336
471,"RiceCounty,Minnesota",,,,22895,69135,82572
472,"St.LouisCounty,Minnesota",,,,85170,49825,65805
473,"ScottCounty,Minnesota",,,,48237,88765,107281
474,"SherburneCounty,Minnesota",,,,31574,83675,92885
475,"StearnsCounty,Minnesota",,,,58656,57728,73092
476,"WrightCounty,Minnesota",,,,47571,74190,89793
477,"DeSotoCounty,Mississippi",,,,61039,64505,79338
478,"ForrestCounty,Mississippi",,,,28007,37275,60356
479,"HarrisonCounty,Mississippi",,,,75266,42770,57091
480,"JacksonCounty,Mississippi",,,,51637,54606,65081
481,"JonesCounty,Mississippi",,,,24901,43350,59391
482,"LauderdaleCounty,Mississippi",,,,28457,42364,54707
483,"LeeCounty,Mississippi",,,,33209,42235,58146
484,"MadisonCounty,Mississippi",,,,38251,64350,91739
485,"RankinCounty,Mississippi",,,,56353,62332,75468
486,"BooneCounty,Missouri",,,,68848,52752,70450
487,"BuchananCounty,Missouri",,,,33971,48550,63459
488,"CapeGirardeauCounty,Missouri",,,,29384,50223,68935
489,"CassCounty,Missouri",,,,38983,63420,77446
490,"ChristianCounty,Missouri",,,,30920,53172,67120
491,"ColeCounty,Missouri",,,,29995,55303,69868
492,"FranklinCounty,Missouri",,,,40023,55359,74134
493,"JasperCounty,Missouri",,,,45730,45786,60014
494,"JeffersonCounty,Missouri",,,,83754,61559,71054
495,"PlatteCounty,Missouri",,,,37929,77581,96923
496,"St.FrancoisCounty,Missouri",,,,24350,45431,54546
497,"St.Louiscity,Missouri",,,,139021,40346,61944
498,"CascadeCounty,Montana",,,,33759,45138,62658
499,"FlatheadCounty,Montana",,,,39279,50142,70136
500,"GallatinCounty,Montana",,,,39644,61211,91957
501,"LewisandClarkCounty,Montana",,,,27283,63475,81497
502,"MissoulaCounty,Montana",,,,47725,46550,70910
503,"YellowstoneCounty,Montana",,,,65019,57945,74760
504,"SarpyCounty,Nebraska",,,,64863,73569,88354
505,"CheshireCounty,NewHampshire",,,,29428,56364,73110
506,"GraftonCounty,NewHampshire",,,,33546,61520,92962
507,"MerrimackCounty,NewHampshire",,,,57531,69505,88153
508,"StraffordCounty,NewHampshire",,,,48351,71295,88380
509,"CapeMayCounty,NewJersey",,,,38895,62548,87477
510,"CumberlandCounty,NewJersey",,,,50787,49110,61132
511,"HunterdonCounty,NewJersey",,,,47195,113684,145102
512,"SalemCounty,NewJersey",,,,24195,53662,73756
513,"SussexCounty,NewJersey",,,,51978,87829,109564
514,"WarrenCounty,NewJersey",,,,40512,74867,94313
515,"ChavesCounty,NewMexico",,,,22516,40960,53516
516,"Do?aAnaCounty,NewMexico",,,,75759,37496,56328
517,"LeaCounty,NewMexico",,,,20793,55636,67445
518,"McKinleyCounty,NewMexico",,,,20061,31526,43857
519,"OteroCounty,NewMexico",,,,22384,43646,66808
520,"SandovalCounty,NewMexico",,,,49821,57158,73308
521,"SanJuanCounty,NewMexico",,,,43093,52003,65449
522,"SantaFeCounty,NewMexico",,,,60096,57863,82210
523,"ValenciaCounty,NewMexico",,,,26575,43700,54551
524,"BroomeCounty,NewYork",,,,76957,50463,67239
525,"CattaraugusCounty,NewYork",,,,31409,46842,57722
526,"CayugaCounty,NewYork",,,,30966,54995,68575
527,"ChautauquaCounty,NewYork",,,,51705,42204,55539
528,"ChemungCounty,NewYork",,,,34418,51269,67332
529,"ClintonCounty,NewYork",,,,30624,55316,65214
530,"JeffersonCounty,NewYork",,,,41415,45624,61225
531,"LivingstonCounty,NewYork",,,,23904,53121,61229
532,"MadisonCounty,NewYork",,,,25612,60630,76630
533,"NiagaraCounty,NewYork",,,,86786,50233,65869
534,"OntarioCounty,NewYork",,,,45187,57448,78032
535,"OswegoCounty,NewYork",,,,44633,53562,65090
536,"PutnamCounty,NewYork",,,,34762,96992,122979
537,"RensselaerCounty,NewYork",,,,62816,65965,80856
538,"St.LawrenceCounty,NewYork",,,,40479,51592,64088
539,"SchenectadyCounty,NewYork",,,,48720,58331,75564
540,"SteubenCounty,NewYork",,,,38458,50575,69894
541,"SullivanCounty,NewYork",,,,25031,50652,76471
542,"TompkinsCounty,NewYork",,,,37683,56349,73644
543,"UlsterCounty,NewYork",,,,68298,62790,82176
544,"WarrenCounty,NewYork",,,,28841,58061,75717
545,"WayneCounty,NewYork",,,,37496,59538,70422
546,"AlamanceCounty,NorthCarolina",,,,64369,45100,60609
547,"BrunswickCounty,NorthCarolina",,,,54331,50692,66132
548,"BurkeCounty,NorthCarolina",,,,35211,40345,51815
549,"CabarrusCounty,NorthCarolina",,,,70438,63386,78726
550,"CaldwellCounty,NorthCarolina",,,,32911,36301,50001
551,"CarteretCounty,NorthCarolina",,,,27506,51206,64471
552,"CatawbaCounty,NorthCarolina",,,,61618,48913,65599
553,"ChathamCounty,NorthCarolina",,,,28568,62961,94054
554,"ClevelandCounty,NorthCarolina",,,,36405,36992,50519
555,"CravenCounty,NorthCarolina",,,,40297,49938,67148
556,"DavidsonCounty,NorthCarolina",,,,62695,45678,59441
557,"GastonCounty,NorthCarolina",,,,82982,48711,69661
558,"HarnettCounty,NorthCarolina",,,,43960,51637,62276
559,"HendersonCounty,NorthCarolina",,,,47791,54963,68263
560,"IredellCounty,NorthCarolina",,,,65037,55891,79750
561,"JohnstonCounty,NorthCarolina",,,,66254,54719,65036
562,"LincolnCounty,NorthCarolina",,,,31588,49453,67290
563,"MooreCounty,NorthCarolina",,,,38786,52279,72904
564,"NashCounty,NorthCarolina",,,,35409,47902,64941
565,"OnslowCounty,NorthCarolina",,,,61766,47150,56900
566,"OrangeCounty,NorthCarolina",,,,50203,66423,94564
567,"PittCounty,NorthCarolina",,,,70019,46573,62944
568,"RandolphCounty,NorthCarolina",,,,56793,44836,55496
569,"RobesonCounty,NorthCarolina",,,,45123,34254,47961
570,"RockinghamCounty,NorthCarolina",,,,38163,40985,50217
571,"RowanCounty,NorthCarolina",,,,50138,48379,62377
572,"RutherfordCounty,NorthCarolina",,,,26982,36121,46400
573,"SurryCounty,NorthCarolina",,,,28261,36802,59268
574,"WayneCounty,NorthCarolina",,,,47240,41711,58296
575,"WilkesCounty,NorthCarolina",,,,28771,41332,51346
576,"WilsonCounty,NorthCarolina",,,,30897,39036,60107
577,"OrangeburgCounty,SouthCarolina",,,,33449,32450,46106
578,"PickensCounty,SouthCarolina",,,,47303,45779,64839
579,"SumterCounty,SouthCarolina",,,,41439,40614,56274
580,"MinnehahaCounty,SouthDakota",,,,73808,60038,75126
581,"PenningtonCounty,SouthDakota",,,,42956,50950,67638
582,"AndersonCounty,Tennessee",,,,31209,46055,61601
583,"BlountCounty,Tennessee",,,,49672,51183,66674
584,"BradleyCounty,Tennessee",,,,40710,44853,59809
585,"GreeneCounty,Tennessee",,,,25418,41109,60485
586,"MadisonCounty,Tennessee",,,,37322,41791,58283
587,"MauryCounty,Tennessee",,,,33667,50591,64296
588,"MontgomeryCounty,Tennessee",,,,69427,56112,65397
589,"PutnamCounty,Tennessee",,,,31343,37437,56080
590,"RobertsonCounty,Tennessee",,,,25302,60423,74977
591,"SevierCounty,Tennessee",,,,36098,45609,56756
592,"SullivanCounty,Tennessee",,,,64795,42859,58135
593,"SumnerCounty,Tennessee",,,,65186,60503,78533
594,"WashingtonCounty,Tennessee",,,,52707,46276,62660
595,"WilsonCounty,Tennessee",,,,47707,71153,84232
596,"AngelinaCounty,Texas",,,,30210,41161,55000
597,"BastropCounty,Texas",,,,25975,56508,72650
598,"BowieCounty,Texas",,,,33031,45997,67583
599,"ComalCounty,Texas",,,,48604,77425,99722
600,"CoryellCounty,Texas",,,,22682,51125,64622
601,"EctorCounty,Texas",,,,51012,53254,79688
602,"EllisCounty,Texas",,,,55586,70210,86074
603,"GraysonCounty,Texas",,,,47135,52095,66350
604,"GreggCounty,Texas",,,,45231,44219,61736
605,"GuadalupeCounty,Texas",,,,51935,68157,86068
606,"HarrisonCounty,Texas",,,,23742,46548,57647
607,"HaysCounty,Texas",,,,71267,64658,83539
608,"HendersonCounty,Texas",,,,30403,44088,64111
609,"HuntCounty,Texas",,,,31377,53962,68424
610,"JohnsonCounty,Texas",,,,54048,59895,73321
611,"KaufmanCounty,Texas",,,,36696,62033,76602
612,"LibertyCounty,Texas",,,,26204,42877,65705
613,"McLennanCounty,Texas",,,,87163,46860,67968
614,"MidlandCounty,Texas",,,,56178,65349,98622
615,"NacogdochesCounty,Texas",,,,23080,35562,54215
616,"OrangeCounty,Texas",,,,32538,53480,70748
617,"ParkerCounty,Texas",,,,44098,66548,83981
618,"PotterCounty,Texas",,,,42179,42305,60695
619,"RandallCounty,Texas",,,,49728,67015,87930
620,"RockwallCounty,Texas",,,,31620,95731,107103
621,"SanPatricioCounty,Texas",,,,23761,53348,64758
622,"TaylorCounty,Texas",,,,48607,48803,63267
623,"TomGreenCounty,Texas",,,,43497,48696,65974
624,"VictoriaCounty,Texas",,,,32249,53778,85178
625,"WalkerCounty,Texas",,,,21209,42662,55950
626,"WichitaCounty,Texas",,,,49486,44769,58193
627,"CacheCounty,Utah",,,,37151,58003,73588
628,"WashingtonCounty,Utah",,,,51774,55056,74494
629,"ChittendenCounty,Vermont",,,,64867,68843,89763
630,"AlbemarleCounty,Virginia",,,,40318,71975,100166
631,"AugustaCounty,Virginia",,,,29664,55342,68377
632,"BedfordCounty,Virginia",,,,29566,56479,75982
633,"FauquierCounty,Virginia",,,,24777,94347,121672
634,"FrederickCounty,Virginia",,,,30760,69827,89243
635,"HanoverCounty,Virginia",,,,37931,83135,101533
636,"JamesCityCounty,Virginia",,,,28480,83455,109488
637,"MontgomeryCounty,Virginia",,,,36128,55706,85232
638,"RoanokeCounty,Virginia",,,,38541,60454,81978
639,"RockinghamCounty,Virginia",,,,31186,57755,77230
640,"SpotsylvaniaCounty,Virginia",,,,44169,81146,95901
641,"StaffordCounty,Virginia",,,,47017,97484,119793
642,"YorkCounty,Virginia",,,,23797,89418,105338
643,"Alexandriacity,Virginia",,,,69875,87920,121672
644,"Chesapeakecity,Virginia",,,,83364,72928,90320
645,"Hamptoncity,Virginia",,,,54181,50435,65991
646,"Lynchburgcity,Virginia",,,,27545,41264,60508
647,"NewportNewscity,Virginia",,,,67628,50524,64926
648,"Norfolkcity,Virginia",,,,87910,46467,64343
649,"Portsmouthcity,Virginia",,,,36615,48516,60637
650,"Richmondcity,Virginia",,,,91704,42373,69458
651,"Roanokecity,Virginia",,,,42213,37044,49385
652,"Suffolkcity,Virginia",,,,33377,66669,85140
653,"VirginiaBeachcity,Virginia",,,,168061,71117,90576
654,"BentonCounty,Washington",,,,70434,62508,80160
655,"ChelanCounty,Washington",,,,28353,52080,70387
656,"ClallamCounty,Washington",,,,31837,48587,60096
657,"CowlitzCounty,Washington",,,,40170,50637,65490
658,"FranklinCounty,Washington",,,,25903,57670,71699
659,"GrantCounty,Washington",,,,28351,48335,61186
660,"GraysHarborCounty,Washington",,,,27330,49623,67813
661,"IslandCounty,Washington",,,,33365,64813,81722
662,"LewisCounty,Washington",,,,29509,45523,58780
663,"BurleighCounty,NorthDakota",,,,39075,64558,85609
664,"CassCounty,NorthDakota",,,,76206,59240,76699
665,"GrandForksCounty,NorthDakota",,,,30045,50008,65489
666,"WardCounty,NorthDakota",,,,27803,62573,77678
667,"AllenCounty,Ohio",,,,39982,47592,60919
668,"AshtabulaCounty,Ohio",,,,38728,42965,55721
669,"AthensCounty,Ohio",,,,21732,36193,56230
670,"BelmontCounty,Ohio",,,,27240,48220,62413
671,"ClarkCounty,Ohio",,,,54548,46811,60848
672,"ClermontCounty,Ohio",,,,77925,60661,80677
673,"ColumbianaCounty,Ohio",,,,41469,47864,59138
674,"DelawareCounty,Ohio",,,,68617,101693,128117
675,"ErieCounty,Ohio",,,,30682,48949,73232
676,"FairfieldCounty,Ohio",,,,55614,65316,81512
677,"GeaugaCounty,Ohio",,,,35519,76384,98903
678,"GreeneCounty,Ohio",,,,63908,62018,82225
679,"HancockCounty,Ohio",,,,31693,52810,70192
680,"JeffersonCounty,Ohio",,,,26971,44257,56107
681,"LickingCounty,Ohio",,,,62898,58685,77785
682,"MarionCounty,Ohio",,,,25114,42826,54192
683,"MedinaCounty,Ohio",,,,67812,72618,91442
684,"MiamiCounty,Ohio",,,,41313,60170,70339
685,"MuskingumCounty,Ohio",,,,34169,43422,53368
686,"PortageCounty,Ohio",,,,62468,49695,67436
687,"RichlandCounty,Ohio",,,,48437,44073,55670
688,"RossCounty,Ohio",,,,28710,46422,62408
689,"SciotoCounty,Ohio",,,,29904,39210,54291
690,"TrumbullCounty,Ohio",,,,85799,45552,60457
691,"TuscarawasCounty,Ohio",,,,34968,50440,58847
692,"WayneCounty,Ohio",,,,43277,53434,64910
693,"WoodCounty,Ohio",,,,50175,60166,78726
694,"CanadianCounty,Oklahoma",,,,44235,67177,78821
695,"ComancheCounty,Oklahoma",,,,42986,51164,66593
696,"CreekCounty,Oklahoma",,,,25658,43609,57170
697,"MuskogeeCounty,Oklahoma",,,,26000,40860,54551
698,"PayneCounty,Oklahoma",,,,30657,35927,59747
699,"PottawatomieCounty,Oklahoma",,,,25547,41716,56177
700,"RogersCounty,Oklahoma",,,,34130,62434,78871
701,"WagonerCounty,Oklahoma",,,,28289,62041,71480
702,"BentonCounty,Oregon",,,,34543,55459,77905
703,"DeschutesCounty,Oregon",,,,71262,61870,78473
704,"DouglasCounty,Oregon",,,,43818,42889,60183
705,"JacksonCounty,Oregon",,,,86745,48563,66160
706,"JosephineCounty,Oregon",,,,35439,36472,50614
707,"KlamathCounty,Oregon",,,,26359,45604,58173
708,"LinnCounty,Oregon",,,,46645,51310,69891
709,"PolkCounty,Oregon",,,,29291,52485,70588
710,"UmatillaCounty,Oregon",,,,25900,50171,61956
711,"YamhillCounty,Oregon",,,,35832,61596,82136
712,"AdamsCounty,Pennsylvania",,,,38125,59300,72296
713,"ArmstrongCounty,Pennsylvania",,,,26105,47398,60137
714,"BeaverCounty,Pennsylvania",,,,68811,55221,69655
715,"BlairCounty,Pennsylvania",,,,51154,43443,58867
716,"ButlerCounty,Pennsylvania",,,,75472,66426,88042
717,"CambriaCounty,Pennsylvania",,,,56443,44100,57562
718,"CarbonCounty,Pennsylvania",,,,25986,51676,63116
719,"CentreCounty,Pennsylvania",,,,57410,60266,81724
720,"ClearfieldCounty,Pennsylvania",,,,29061,47352,58404
721,"ColumbiaCounty,Pennsylvania",,,,26531,49186,64433
722,"CrawfordCounty,Pennsylvania",,,,33955,45410,61696
723,"FayetteCounty,Pennsylvania",,,,53662,43140,56917
724,"FranklinCounty,Pennsylvania",,,,60492,60559,77464
725,"IndianaCounty,Pennsylvania",,,,34786,42962,59117
726,"LackawannaCounty,Pennsylvania",,,,86203,47475,64366
727,"LawrenceCounty,Pennsylvania",,,,35861,46918,65697
728,"LebanonCounty,Pennsylvania",,,,51143,57248,70452
729,"LycomingCounty,Pennsylvania",,,,45525,49052,61228
730,"MercerCounty,Pennsylvania",,,,45630,49890,64329
731,"MonroeCounty,Pennsylvania",,,,57284,60095,76141
732,"NorthumberlandCounty,Pennsylvania",,,,38098,47736,59110
733,"SchuylkillCounty,Pennsylvania",,,,58149,50684,60421
734,"SomersetCounty,Pennsylvania",,,,29189,43871,56742
735,"WashingtonCounty,Pennsylvania",,,,83117,57998,78066
736,"KentCounty,RhodeIsland",,,,67747,63101,85413
737,"NewportCounty,RhodeIsland",,,,35078,73596,96121
738,"WashingtonCounty,RhodeIsland",,,,50368,77813,98882
739,"AikenCounty,SouthCarolina",,,,66751,45945,61156
740,"AndersonCounty,SouthCarolina",,,,75432,45090,61089
741,"BeaufortCounty,SouthCarolina",,,,67932,65919,89311
742,"BerkeleyCounty,SouthCarolina",,,,75202,59153,75759
743,"DarlingtonCounty,SouthCarolina",,,,25924,36841,53488
744,"DorchesterCounty,SouthCarolina",,,,55324,57637,71563
745,"FlorenceCounty,SouthCarolina",,,,50193,46524,61747
746,"GreenwoodCounty,SouthCarolina",,,,27533,38200,52756
747,"LancasterCounty,SouthCarolina",,,,32630,56216,77045
748,"LaurensCounty,SouthCarolina",,,,24805,44038,56140
749,"OconeeCounty,SouthCarolina",,,,31498,43743,64615
750,"KentonCounty,Kentucky",,,,63609,62182,75830
751,"McCrackenCounty,Kentucky",,,,28416,39048,58737
752,"MadisonCounty,Kentucky",,,,33633,43840,57059
753,"OldhamCounty,Kentucky",,,,21180,90341,109184
754,"WarrenCounty,Kentucky",,,,47444,46686,66862
755,"AscensionParish,Louisiana",,,,40950,76581,89121
756,"BossierParish,Louisiana",,,,47458,48163,63752
757,"CalcasieuParish,Louisiana",,,,77029,45962,62016
758,"IberiaParish,Louisiana",,,,26240,41424,54106
759,"LafourcheParish,Louisiana",,,,37199,51772,63414
760,"LivingstonParish,Louisiana",,,,47479,56534,75554
761,"OuachitaParish,Louisiana",,,,54349,37275,55761
762,"RapidesParish,Louisiana",,,,47745,42582,64374
763,"St.LandryParish,Louisiana",,,,30302,31207,47493
764,"TangipahoaParish,Louisiana",,,,47756,48162,63700
765,"TerrebonneParish,Louisiana",,,,40102,46026,65676
766,"AndroscogginCounty,Maine",,,,44917,49081,61439
767,"AroostookCounty,Maine",,,,27514,39450,53954
768,"KennebecCounty,Maine",,,,47791,51573,64429
769,"PenobscotCounty,Maine",,,,60195,47328,62849
770,"YorkCounty,Maine",,,,82469,60863,77704
771,"AlleganyCounty,Maryland",,,,27608,45606,55306
772,"CalvertCounty,Maryland",,,,32434,98732,115072
773,"CarrollCounty,Maryland",,,,61661,90343,107119
774,"CecilCounty,Maryland",,,,37296,74221,89209
775,"CharlesCounty,Maryland",,,,55929,95735,108865
776,"PrinceGeorge'sCounty,Maryland",,,,307816,79184,93945
777,"St.Mary'sCounty,Maryland",,,,41368,78195,91785
778,"WashingtonCounty,Maryland",,,,55824,54250,71499
779,"WicomicoCounty,Maryland",,,,36774,50844,65237
780,"Baltimorecity,Maryland",,,,240761,47350,69831
781,"BarnstableCounty,Massachusetts",,,,92582,67898,91777
782,"BerkshireCounty,Massachusetts",,,,54204,58418,76180
783,"FranklinCounty,Massachusetts",,,,30868,57106,77060
784,"HampshireCounty,Massachusetts",,,,58167,64354,85559
785,"AlleganCounty,Michigan",,,,41995,57846,69842
786,"BayCounty,Michigan",,,,43876,44756,60261
787,"BerrienCounty,Michigan",,,,62538,47083,67902
788,"CalhounCounty,Michigan",,,,52888,45902,61465
789,"ClintonCounty,Michigan",,,,28944,65730,83894
790,"EatonCounty,Michigan",,,,44666,56211,70485
791,"SkagitCounty,Washington",,,,46423,60983,77921
792,"BerkeleyCounty,WestVirginia",,,,42369,57357,76559
793,"CabellCounty,WestVirginia",,,,39017,38823,56454
794,"HarrisonCounty,WestVirginia",,,,27741,47204,69040
795,"KanawhaCounty,WestVirginia",,,,79049,45001,64515
796,"MonongaliaCounty,WestVirginia",,,,38699,50953,78117
797,"RaleighCounty,WestVirginia",,,,30431,45863,57049
798,"WoodCounty,WestVirginia",,,,34991,48655,65006
799,"DodgeCounty,Wisconsin",,,,34648,55856,66121
800,"EauClaireCounty,Wisconsin",,,,41312,49821,65878
801,"FondduLacCounty,Wisconsin",,,,40815,58310,71268
802,"JeffersonCounty,Wisconsin",,,,32378,58703,67493
803,"KenoshaCounty,Wisconsin",,,,64386,59417,76061
804,"LaCrosseCounty,Wisconsin",,,,47086,54823,71375
805,"ManitowocCounty,Wisconsin",,,,34234,51752,63032
806,"MarathonCounty,Wisconsin",,,,55147,54774,73258
807,"OutagamieCounty,Wisconsin",,,,72994,61149,77501
808,"OzaukeeCounty,Wisconsin",,,,35417,84415,118529
809,"PortageCounty,Wisconsin",,,,28009,53655,69242
810,"RacineCounty,Wisconsin",,,,75921,55706,70257
811,"RockCounty,Wisconsin",,,,63222,50729,65404
812,"St.CroixCounty,Wisconsin",,,,33460,72865,92297
813,"SheboyganCounty,Wisconsin",,,,47652,54059,70716
814,"WalworthCounty,Wisconsin",,,,40039,58302,73449
815,"WashingtonCounty,Wisconsin",,,,53090,73502,92617
816,"WinnebagoCounty,Wisconsin",,,,69943,56754,75399
817,"WoodCounty,Wisconsin",,,,32749,51887,69621
818,"LaramieCounty,Wyoming",,,,38181,62221,73885
819,"NatronaCounty,Wyoming",,,,32059,59474,73781
820,"AreciboMunicipio,PuertoRico",,,,32650,18516,24277
821,"CaguasMunicipio,PuertoRico",,,,48272,24198,36895
822,"CarolinaMunicipio,PuertoRico",,,,63447,28055,35950
823,"GuaynaboMunicipio,PuertoRico",,,,33066,32240,59895
824,"PonceMunicipio,PuertoRico",,,,52447,17454,26323
825,"SanJuanMunicipio,PuertoRico",,,,146719,22727,42517
826,"ToaAltaMunicipio,PuertoRico",,,,22394,26171,39685
827,"ToaBajaMunicipio,PuertoRico",,,,28112,23560,30844
828,"TrujilloAltoMunicipio,PuertoRico",,,,24334,33122,42200
829,"MayagüezMunicipio,PuertoRico",,,,29138,14532,24786
830,"BayamónMunicipio,PuertoRico",,,,70124,24128,35256
