Location,Population
"Hamilton County,   Tennessee",364286
"Nueces County,   Texas",362265
"Marion County,   Florida",359977
"Lake County,   Florida",356495
"Bell County,   Texas",355642
"Anoka County,   Minnesota",353813
"Davis County,   Utah",351713
"Westmoreland County,   Pennsylvania",350611
"Larimer County,   Colorado",350518
"Chesterfield County,   Virginia",348556
"Marion County,   Oregon",346868
"Horry County,   South Carolina",344147
"Douglas County,   Colorado",342776
"Galveston County,   Texas",337890
"Cumberland County,   North Carolina",332330
"Somerset County,   New Jersey",331164
"Hamilton County,   Indiana",330086
"Henrico County,   Virginia",329261
"Boulder County,   Colorado",326078
"Rockland County,   New York",325695
"Rutherford County,   Tennessee",324890
"Fayette County,   Kentucky",323780
"Howard County,   Maryland",323196
"St. Lucie County,   Florida",321128
"Luzerne County,   Pennsylvania",317646
"Lancaster County,   Nebraska",317272
"Durham County,   North Carolina",316739
"Escambia County,   Florida",315534
"Weld County,   Colorado",314305
"Spartanburg County,   South Carolina",313888
"Lorain County,   Ohio",309461
"Rockingham County,   New Hampshire",309176
"McHenry County,   Illinois",308570
"Lubbock County,   Texas",307412
"Albany County,   New York",307117
"Northampton County,   Pennsylvania",304807
"St. Louis city,   Missouri",302838
"Lexington County,   South Carolina",295032
"Dutchess County,   New York",293718
"Cumberland County,   Maine",293557
"Ingham County,   Michigan",292735
"Leon County,   Florida",292502
"Greene County,   Missouri",291923
"Anchorage Municipality,   Alaska",291538
"Gloucester County,   New Jersey",291408
"Ottawa County,   Michigan",290494
"Clayton County,   Georgia",289615
"Chatham County,   Georgia",289195
"Thurston County,   Washington",286419
"Winnebago County,   Illinois",284081
"San Luis Obispo County,   California",284010
"Cleveland County,   Oklahoma",281669
"Dauphin County,   Pennsylvania",277097
"Webb County,   Texas",275910
"Merced County,   California",274765
"Santa Cruz County,   California",274255
"York County,   South Carolina",274118
"Benton County,   Arkansas",272608
"Erie County,   Pennsylvania",272061
"St. Joseph County,   Indiana",270771
"Alachua County,   Florida",269956
"Kitsap County,   Washington",269805
"New London County,   Connecticut",266784
"Atlantic County,   New Jersey",265429
"Kalamazoo County,   Michigan",264870
"Madison County,   Illinois",264461
"Brown County,   Wisconsin",263378
"St. Clair County,   Illinois",261059
"Marin County,   California",259666
"Washington County,   Minnesota",259201
"Buncombe County,   North Carolina",259103
"St. Tammany Parish,   Louisiana",258111
"Weber County,   Utah",256359
"Frederick County,   Maryland",255648
"Jefferson County,   Texas",255001
"McLennan County,   Texas",254607
"St. Johns County,   Florida",254261
"Cherokee County,   Georgia",254149
"Harford County,   Maryland",253956
"Yakima County,   Washington",251446
"Cumberland County,   Pennsylvania",251423
"Clay County,   Missouri",246365
"Norfolk city,   Virginia",244076
"Caddo Parish,   Louisiana",242922
"Lafayette Parish,   Louisiana",242782
"Chesapeake city,   Virginia",242634
"Arlington County,   Virginia",237521
"Hinds County,   Mississippi",237085
"Washington County,   Arkansas",236961
"Forsyth County,   Georgia",236612
"Union County,   North Carolina",235908
"New Hanover County,   North Carolina",232274
"Warren County,   Ohio",232173
"Yavapai County,   Arizona",231993
"Williamson County,   Tennessee",231729
"Butte County,   California",231256
"Lake County,   Ohio",230514
"Smith County,   Texas",230221
"Henry County,   Georgia",230220
"Saratoga County,   New York",230163
"Mahoning County,   Ohio",229642
"Oneida County,   New York",229577
"Sussex County,   Delaware",229286
"Richmond city,   Virginia",228783
"Brazos County,   Texas",226758
"Linn County,   Iowa",225909
"Montgomery County,   Alabama",225763
"Whatcom County,   Washington",225685
