,Location,Obesity Percentage,Lower Limit,Upper Limit,Population
480,"Chatham County,  North Carolina",23.1,16.4,31.2,
481,"Chattahoochee County,  Georgia",36,20.2,52,
482,"Chattooga County,  Georgia",29.8,20.3,40.8,
483,"Chautauqua County,  Kansas",32.2,23.4,41.9,
484,"Chautauqua County,  New York",33.1,30,36.1,
485,"Chaves County,  New Mexico",34.1,28.9,39.6,
486,"Cheatham County,  Tennessee",31.5,21.9,43.5,
487,"Cheboygan County,  Michigan",29.9,20.9,39.8,
488,"Chelan County,  Washington",26.3,22.1,30.6,
489,"Chemung County,  New York",36,31.4,40.9,
490,"Chenango County,  New York",39,34.2,43.8,
491,"Cherokee County,  Alabama",34.8,27.1,42.6,
492,"Cherokee County,  Georgia",26.3,21.5,31.7,"254,149.00"
493,"Cherokee County,  Iowa",35.1,26.7,44.7,
494,"Cherokee County,  Kansas",42.4,37.1,47.7,
495,"Cherokee County,  North Carolina",26.9,21.1,34.1,
496,"Cherokee County,  Oklahoma",39.1,32,46.7,
497,"Cherokee County,  South Carolina",42.9,36.3,49.9,
498,"Cherokee County,  Texas",43.2,33.8,53.3,
499,"Cherry County,  Nebraska",27.4,23.1,31.8,
500,"Chesapeake City,  Virginia",36,32.5,40,
501,"Cheshire County,  New Hampshire",29.6,26.6,32.7,
502,"Chester County,  Pennsylvania",21.8,17.9,26,"522,046.00"
503,"Chester County,  South Carolina",35.6,30.4,41.1,
504,"Chester County,  Tennessee",31.2,23.5,41,
505,"Chesterfield County,  South Carolina",37.6,32.3,43.4,
506,"Chesterfield County,  Virginia",31.8,28.5,35,"348,556.00"
507,"Cheyenne County,  Colorado",22.6,15.3,32.4,
508,"Cheyenne County,  Kansas",32.4,23,41.9,
509,"Cheyenne County,  Nebraska",29,24.1,34.3,
510,"Chickasaw County,  Iowa",29.5,21.3,38.8,
511,"Chickasaw County,  Mississippi",45.6,37.1,54.3,
512,"Chicot County,  Arkansas",38.8,29.5,48,
513,"Childress County,  Texas",24.9,15.2,37.9,
514,"Chilton County,  Alabama",38.1,30.5,45.7,
515,"Chippewa County,  Michigan",40.6,33.2,48.5,
516,"Chippewa County,  Minnesota",34.4,27.5,41.8,
517,"Chippewa County,  Wisconsin",27.1,21.2,33.8,
518,"Chisago County,  Minnesota",28.6,24.2,33.5,
519,"Chittenden County,  Vermont",20.8,19.2,22.5,
520,"Choctaw County,  Alabama",41.1,34.1,47.9,
521,"Choctaw County,  Mississippi",38.3,28.6,48.7,
522,"Choctaw County,  Oklahoma",34,26,42,
523,"Chouteau County,  Montana",28.7,21.7,36.9,
524,"Chowan County,  North Carolina",38.8,29.4,48.8,
525,"Christian County,  Illinois",28.7,19.3,40,
526,"Christian County,  Kentucky",34.3,30,38.6,
527,"Christian County,  Missouri",31.2,24.3,39.1,
528,"Churchill County,  Nevada",32.4,27.2,38.5,
529,"Ciales Municipio,  Puerto Rico",No Data,No Data,No Data,
530,"Cibola County,  New Mexico",31.1,26.6,36,
531,"Cidra Municipio,  Puerto Rico",No Data,No Data,No Data,
532,"Cimarron County,  Oklahoma",28.3,18.1,40,
533,"Citrus County,  Florida",30.2,26.4,34.3,
534,"Clackamas County,  Oregon",28.3,25.8,31,"416,075.00"
535,"Claiborne County,  Mississippi",41.1,26.9,56.2,
536,"Claiborne County,  Tennessee",25.3,18.2,33.4,
537,"Claiborne Parish,  Louisiana",38.1,29.1,47.5,
538,"Clallam County,  Washington",29,24.3,34.2,
539,"Clare County,  Michigan",37.9,29.3,47.2,
540,"Clarendon County,  South Carolina",40.2,34.4,45.8,
541,"Clarion County,  Pennsylvania",33.2,24.5,42.7,
542,"Clark County,  Arkansas",27,19.2,36,
543,"Clark County,  Idaho",28,17.1,43.9,
544,"Clark County,  Illinois",36.8,24.5,51.2,
545,"Clark County,  Indiana",36.8,32.3,41.5,
546,"Clark County,  Kansas",31.8,22.9,42.7,
547,"Clark County,  Kentucky",36.1,27.8,44.9,
548,"Clark County,  Missouri",29,19.4,39.5,
549,"Clark County,  Nevada",25.3,23.8,27,"2,231,647.00"
550,"Clark County,  Ohio",33.6,28.5,39.2,
551,"Clark County,  South Dakota",31.5,23,40.7,
552,"Clark County,  Washington",30,27.9,32.4,"481,857.00"
553,"Clark County,  Wisconsin",38.7,30.5,47.8,
554,"Clarke County,  Alabama",34.2,27.5,41.3,
555,"Clarke County,  Georgia",24.6,19.2,31.1,
556,"Clarke County,  Iowa",36.4,26.2,47.9,
557,"Clarke County,  Mississippi",28.6,21.9,36.5,
558,"Clarke County,  Virginia",24.9,15.7,36.1,
559,"Clatsop County,  Oregon",29.3,23.3,35.9,
560,"Clay County,  Alabama",41.1,30.6,51.5,
561,"Clay County,  Arkansas",43.7,34.1,53.7,
562,"Clay County,  Florida",31.8,28.2,35.7,
563,"Clay County,  Georgia",36,19.7,53.7,
564,"Clay County,  Illinois",22.1,13.8,33.4,
565,"Clay County,  Indiana",35.8,28.3,44,
566,"Clay County,  Iowa",34.9,26.8,43.4,
567,"Clay County,  Kansas",28.6,23,34.7,
568,"Clay County,  Kentucky",36.2,28.8,44.2,
569,"Clay County,  Minnesota",28.1,24.3,31.9,
570,"Clay County,  Mississippi",39.8,31.9,48.5,
571,"Clay County,  Missouri",33.1,29.5,36.7,"246,365.00"
572,"Clay County,  Nebraska",35.1,29.6,41.3,
573,"Clay County,  North Carolina",32.1,22.3,42.6,
574,"Clay County,  South Dakota",30.9,24.3,38,
575,"Clay County,  Tennessee",30.3,20.6,42.1,
576,"Clay County,  Texas",31.4,21.4,43.5,
577,"Clay County,  West Virginia",39.7,31.2,48.5,
578,"Clayton County,  Georgia",36.2,31.9,41.2,"289,615.00"
579,"Clayton County,  Iowa",35.8,28.3,44,
580,"Clear Creek County,  Colorado",20.3,14.4,27.4,
581,"Clearfield County,  Pennsylvania",41.4,33.5,49.2,
582,"Clearwater County,  Idaho",32.6,25.8,40.9,
583,"Clearwater County,  Minnesota",30.7,24.6,37.1,
584,"Cleburne County,  Alabama",37.7,29.1,47.5,
585,"Cleburne County,  Arkansas",37.9,29.1,47.2,
586,"Clermont County,  Ohio",37.1,31.7,42.3,
587,"Cleveland County,  Arkansas",35.6,25.7,46.2,
588,"Cleveland County,  North Carolina",38.4,30.1,46.7,
589,"Cleveland County,  Oklahoma",34.6,31.5,38,"281,669.00"
590,"Clinch County,  Georgia",52.4,36,68.2,
591,"Clinton County,  Illinois",39,28,50.7,
592,"Clinton County,  Indiana",38.6,31,46.3,
593,"Clinton County,  Iowa",32.8,27.5,38.7,
594,"Clinton County,  Kentucky",34.7,26.7,43.8,
595,"Clinton County,  Michigan",33.9,27.5,40,
596,"Clinton County,  Missouri",33.1,24.7,42.1,
597,"Clinton County,  New York",35.4,32.1,38.9,
598,"Clinton County,  Ohio",32.8,22.9,43.8,
599,"Clinton County,  Pennsylvania",35.2,27.8,43.4,
600,"Cloud County,  Kansas",41.1,35,47.7,
601,"Coahoma County,  Mississippi",42.5,35.3,49.7,
602,"Coal County,  Oklahoma",35.2,23.5,47.8,
603,"Coamo Municipio,  Puerto Rico",No Data,No Data,No Data,
604,"Cobb County,  Georgia",28.8,25.8,32,"756,865.00"
605,"Cochise County,  Arizona",30,26.5,33.8,
606,"Cochran County,  Texas",24.8,14.6,38.9,
607,"Cocke County,  Tennessee",37,27.9,46.6,
608,"Coconino County,  Arizona",23.8,21,26.8,
609,"Codington County,  South Dakota",31.9,28.9,35.2,
610,"Coffee County,  Alabama",34.2,28.1,40.3,
611,"Coffee County,  Georgia",34.6,26,43.8,
612,"Coffee County,  Tennessee",32,25.7,38.8,
613,"Coffey County,  Kansas",38.5,32,45.2,
614,"Coke County,  Texas",28.5,17,43,
615,"Colbert County,  Alabama",30.5,25.6,36.1,
616,"Cole County,  Missouri",35.6,28.8,43.2,
617,"Coleman County,  Texas",23.9,15.1,35.4,
618,"Coles County,  Illinois",36.8,27.1,47.6,
619,"Colfax County,  Nebraska",31.2,26.1,36.3,
620,"Colfax County,  New Mexico",28.1,21.2,35.8,
621,"Colleton County,  South Carolina",42.5,37.6,47.8,
622,"Collier County,  Florida",21.8,19,24.7,"378,488.00"
623,"Collin County,  Texas",27.5,23.1,31.7,"1,005,146.00"
624,"Collingsworth County,  Texas",29,16.5,45.6,
625,"Colonial Heights City,  Virginia",26.3,18.2,36,
626,"Colorado County,  Texas",26.3,15.7,39.6,
627,"Colquitt County,  Georgia",37.8,27.9,48.4,
628,"Columbia County,  Arkansas",36.5,28.1,44.8,
629,"Columbia County,  Florida",36,32.7,39.2,
630,"Columbia County,  Georgia",31.8,25.5,38.8,
631,"Columbia County,  New York",23,19.2,26.9,
632,"Columbia County,  Oregon",30.1,24,36.6,
633,"Columbia County,  Pennsylvania",31.5,25.2,38.7,
634,"Columbia County,  Washington",35.5,29.5,42.4,
635,"Columbia County,  Wisconsin",43.5,36,51.4,
636,"Columbiana County,  Ohio",36.3,30.7,42.7,
637,"Columbus County,  North Carolina",46.7,38.3,55,
638,"Colusa County,  California",40.6,28.8,53.3,
639,"Comal County,  Texas",30.2,23.2,37.6,
640,"Comanche County,  Kansas",26,17.7,36.2,
641,"Comanche County,  Oklahoma",32.2,28.2,36.2,
642,"Comanche County,  Texas",25.6,15.7,38.9,
643,"Comerío Municipio,  Puerto Rico",No Data,No Data,No Data,
644,"Concho County,  Texas",28.2,18.3,40.6,
645,"Concordia Parish,  Louisiana",34.4,27.6,41.5,
646,"Conecuh County,  Alabama",43.8,33.7,54.1,
647,"Conejos County,  Colorado",25.5,19.1,33.6,
648,"Contra Costa County,  California",23.8,21,26.7,"1,150,215.00"
649,"Converse County,  Wyoming",31.4,26.5,36.7,
650,"Conway County,  Arkansas",36.8,27.9,46.7,
651,"Cook County,  Georgia",29.3,21,39.7,
652,"Cook County,  Illinois",27.7,26.5,29,"5,180,493.00"
653,"Cook County,  Minnesota",20.7,14.4,28.2,
654,"Cooke County,  Texas",23.3,14.1,35.9,
655,"Cooper County,  Missouri",34.1,24.1,45.4,
656,"Coos County,  New Hampshire",34.2,30.5,38,
657,"Coos County,  Oregon",39.2,33.2,45.1,
658,"Coosa County,  Alabama",40.6,30.4,51.6,
659,"Copiah County,  Mississippi",38.9,30.6,47.7,
660,"Corozal Municipio,  Puerto Rico",No Data,No Data,No Data,
661,"Corson County,  South Dakota",39.3,34.7,44.2,
662,"Cortland County,  New York",34.9,30.1,39.6,
663,"Coryell County,  Texas",42.1,32.6,51.8,
664,"Coshocton County,  Ohio",37.7,31.7,44.2,
665,"Costilla County,  Colorado",27.6,18.6,37.4,
666,"Cottle County,  Texas",20.7,11.9,34.4,
667,"Cotton County,  Oklahoma",39.5,27.5,52.3,
668,"Cottonwood County,  Minnesota",35.2,27.4,43.3,
669,"Covington City,  Virginia",26.1,15.2,42.5,
670,"Covington County,  Alabama",31.7,25.9,37.8,
671,"Covington County,  Mississippi",37.5,29.6,46.8,
672,"Coweta County,  Georgia",28.4,21.8,35.6,
673,"Cowley County,  Kansas",39.1,34.6,43.9,
674,"Cowlitz County,  Washington",34.7,30.7,38.5,
675,"Craig County,  Oklahoma",36,26.1,46.7,
676,"Craig County,  Virginia",26.7,17.1,39.1,
677,"Craighead County,  Arkansas",38.3,33,44.2,
678,"Crane County,  Texas",24.9,14.7,39.4,
679,"Craven County,  North Carolina",30.8,24.9,37.2,
680,"Crawford County,  Arkansas",35.4,28.9,42.3,
681,"Crawford County,  Georgia",46.4,31,61.9,
682,"Crawford County,  Illinois",26.8,16.8,39,
683,"Crawford County,  Indiana",28.7,20.2,39.6,
684,"Crawford County,  Iowa",33.3,26.4,40.9,
685,"Crawford County,  Kansas",33.8,30.5,37.1,
686,"Crawford County,  Michigan",31.9,21.6,43.1,
687,"Crawford County,  Missouri",40.6,31.9,50.2,
688,"Crawford County,  Ohio",31.2,25.4,37.6,
689,"Crawford County,  Pennsylvania",37.4,31.1,43.8,
690,"Crawford County,  Wisconsin",39.2,27.9,50.8,
691,"Creek County,  Oklahoma",33.2,27.5,39.1,
692,"Crenshaw County,  Alabama",38.2,29.4,47.5,
693,"Crisp County,  Georgia",38.2,27.7,49.3,
694,"Crittenden County,  Arkansas",41.3,35.4,47.3,
695,"Crittenden County,  Kentucky",30.7,22.3,40.2,
696,"Crockett County,  Tennessee",40.6,29.6,53,
697,"Crockett County,  Texas",26.6,16.7,39.8,
698,"Crook County,  Oregon",33,24.1,42.2,
699,"Crook County,  Wyoming",25.7,20.5,31.4,
700,"Crosby County,  Texas",28.5,15.8,43.6,
701,"Cross County,  Arkansas",39.1,29.9,48.3,
702,"Crow Wing County,  Minnesota",29.2,25.6,33.1,
703,"Crowley County,  Colorado",30.8,20.5,43.1,
704,"Culberson County,  Texas",35.2,21.7,49.8,
705,"Culebra Municipio,  Puerto Rico",No Data,No Data,No Data,
706,"Cullman County,  Alabama",36.7,30.6,42.8,
707,"Culpeper County,  Virginia",29.2,22.9,35.8,
708,"Cumberland County,  Illinois",32.1,19.2,45.6,
709,"Cumberland County,  Kentucky",37.7,28,48.9,
710,"Cumberland County,  Maine",22.8,21.2,24.4,"293,557.00"
711,"Cumberland County,  New Jersey",35.8,32.6,38.9,
712,"Cumberland County,  North Carolina",33.9,30.3,37.7,"332,330.00"
713,"Cumberland County,  Pennsylvania",28.9,23.9,33.9,"251,423.00"
714,"Cumberland County,  Tennessee",35.3,28.4,42.8,
715,"Cumberland County,  Virginia",38.7,28.7,49.4,
716,"Cuming County,  Nebraska",35.5,30.9,40.5,
717,"Currituck County,  North Carolina",28.2,19.5,37.5,
718,"Curry County,  New Mexico",30.2,25.5,34.9,
719,"Curry County,  Oregon",34.8,26.3,44,
720,"Custer County,  Colorado",27.8,19.5,38.1,
721,"Custer County,  Idaho",27,20.2,35.5,
722,"Custer County,  Montana",33.3,27.7,39,
723,"Custer County,  Nebraska",35.7,31.6,39.8,
724,"Custer County,  Oklahoma",37.6,31.5,44.2,
725,"Custer County,  South Dakota",31,23.1,40.2,
726,"Cuyahoga County,  Ohio",30.2,27.9,32.7,"1,243,857.00"
727,"Dade County,  Georgia",41.2,29,54.4,
728,"Dade County,  Missouri",33.9,22.1,46.8,
729,"Daggett County,  Utah",27.3,17.2,38.2,
730,"Dakota County,  Minnesota",28,26.1,29.9,"425,423.00"
731,"Dakota County,  Nebraska",38.5,35.3,42,
732,"Dale County,  Alabama",37.3,32,43.2,
733,"Dallam County,  Texas",35.8,24.3,47.7,
734,"Dallas County,  Alabama",43.8,39.6,48.2,
735,"Dallas County,  Arkansas",38.6,26.3,51.7,
736,"Dallas County,  Iowa",28.4,24.4,32.5,
737,"Dallas County,  Missouri",32.1,21.3,45.6,
738,"Dallas County,  Texas",29.8,26.9,32.6,"2,637,772.00"
739,"Dane County,  Wisconsin",22.5,19.6,25.3,"542,364.00"
740,"Daniels County,  Montana",25.9,18,36.6,
741,"Danville City,  Virginia",29.8,21.8,38.8,
742,"Dare County,  North Carolina",21.9,17.1,27.4,
743,"Darke County,  Ohio",35.8,27,44.6,
744,"Darlington County,  South Carolina",37.6,33.1,42.2,
745,"Dauphin County,  Pennsylvania",33.1,28.7,38.1,"277,097.00"
746,"Davidson County,  North Carolina",31.7,25.7,37.7,
747,"Davidson County,  Tennessee",29.7,26.7,32.9,"692,587.00"
748,"Davie County,  North Carolina",42.1,31.4,52.6,
749,"Daviess County,  Indiana",36.6,28.4,45.2,
750,"Daviess County,  Kentucky",31,27.2,35.3,
751,"Daviess County,  Missouri",46.3,36.2,56.4,
752,"Davis County,  Iowa",24.6,17.4,33.6,
753,"Davis County,  Utah",26.3,24.8,28,"351,713.00"
754,"Davison County,  South Dakota",27,21.5,33.4,
755,"Dawes County,  Nebraska",28.2,23.6,33,
756,"Dawson County,  Georgia",27.1,18.1,37.3,
757,"Dawson County,  Montana",28.6,23.7,34.1,
758,"Dawson County,  Nebraska",35.6,31.2,40.6,
759,"Dawson County,  Texas",29.4,17.5,44.6,
760,"Day County,  South Dakota",36.2,27.7,45.3,
761,"De Baca County,  New Mexico",38.3,26.3,51.1,
762,"De Soto Parish,  Louisiana",38,26.9,49.9,
763,"De Witt County,  Illinois",26.4,16.1,40,
764,"Deaf Smith County,  Texas",26.4,16.8,40.1,
765,"Dearborn County,  Indiana",33.5,27.3,40,
766,"Decatur County,  Georgia",26.8,18.5,36.4,
767,"Decatur County,  Indiana",33.2,26.7,41.1,
768,"Decatur County,  Iowa",40.9,32,50.4,
769,"Decatur County,  Kansas",31.4,22.4,41,
770,"Decatur County,  Tennessee",31.9,23.4,41.7,
771,"Deer Lodge County,  Montana",28.4,20.6,37,
772,"Defiance County,  Ohio",32,24.9,39.4,
773,"Dekalb County,  Alabama",29.1,24.2,34.1,
774,"Dekalb County,  Georgia",26.1,23.2,29.1,
775,"Dekalb County,  Illinois",31.7,26.1,38.3,
776,"Dekalb County,  Indiana",29.8,23.5,36.8,
777,"Dekalb County,  Missouri",36.8,26.6,48.1,
778,"Dekalb County,  Tennessee",29.4,21,39,
779,"Del Norte County,  California",34.4,22.6,47.4,
780,"Delaware County,  Indiana",34.1,29.4,39.2,
781,"Delaware County,  Iowa",31.4,24.4,39.1,
782,"Delaware County,  New York",29.7,25.3,34,
783,"Delaware County,  Ohio",26.4,23.1,30.1,
784,"Delaware County,  Oklahoma",37.6,30.5,44.6,
785,"Delaware County,  Pennsylvania",26.3,22.3,30.6,"564,751.00"
786,"Delta County,  Colorado",26.6,21.1,32.3,
787,"Delta County,  Michigan",36,28.8,43.9,
788,"Delta County,  Texas",33.8,20.4,50.8,
789,"Denali Borough,  Alaska",24.7,18,32.4,
790,"Dent County,  Missouri",21,12.9,31.2,
791,"Denton County,  Texas",24.9,20.4,29.7,"859,064.00"
792,"Denver County,  Colorado",17,15.8,18.4,"716,492.00"
793,"Des Moines County,  Iowa",37.3,31.9,43.2,
794,"Deschutes County,  Oregon",22.7,19.3,26.5,
795,"Desha County,  Arkansas",37.8,28.6,47.2,
796,"Desoto County,  Florida",31.7,27.6,36,
797,"Desoto County,  Mississippi",35.2,30.9,39.8,
798,"Deuel County,  Nebraska",36,26.6,46.3,
799,"Deuel County,  South Dakota",35.9,27,45.5,
800,"Dewey County,  Oklahoma",39.3,28.4,51.7,
801,"Dewey County,  South Dakota",39,35.1,43.5,
802,"Dewitt County,  Texas",26.2,16.5,38.3,
803,"Dickens County,  Texas",23.6,14.4,36.3,
804,"Dickenson County,  Virginia",37.6,28.7,46.6,
805,"Dickey County,  North Dakota",35.7,28.6,43.3,
806,"Dickinson County,  Iowa",27.8,20.7,36.1,
807,"Dickinson County,  Kansas",35.9,31.5,40.1,
808,"Dickinson County,  Michigan",23.4,17,31.9,
809,"Dickson County,  Tennessee",26.1,18.5,35,
810,"Dillingham Census Area,  Alaska",35.2,28.6,42.3,
811,"Dillon County,  South Carolina",41.6,35.4,48,
812,"Dimmit County,  Texas",32.6,19.2,47.7,
813,"Dinwiddie County,  Virginia",38.5,29.9,47.7,
814,"District Of Columbia,  District of Columbia",24,23.1,24.9,
815,"Divide County,  North Dakota",34.6,24.7,45.6,
816,"Dixie County,  Florida",34.7,30.2,38.9,
817,"Dixon County,  Nebraska",35.9,30.8,41.3,
818,"Doddridge County,  West Virginia",39.7,29.4,50.7,
819,"Dodge County,  Georgia",34.3,23.5,46.3,
820,"Dodge County,  Minnesota",36.5,30.3,42.9,
821,"Dodge County,  Nebraska",35.3,32.2,38.5,
822,"Dodge County,  Wisconsin",33.2,27.2,39.4,
823,"Dolores County,  Colorado",19,12.3,28.7,
824,"Doniphan County,  Kansas",37.4,29.9,45.5,
825,"Donley County,  Texas",28.3,16.3,42.9,
826,"Dooly County,  Georgia",38,25.4,51.6,
827,"Door County,  Wisconsin",33,24.9,41.9,
828,"Dorado Municipio,  Puerto Rico",No Data,No Data,No Data,
829,"Dorchester County,  Maryland",39.7,35.5,43.9,
830,"Dorchester County,  South Carolina",31.2,27.9,34.7,
831,"Dougherty County,  Georgia",37.2,29.7,44.9,
832,"Douglas County,  Colorado",19.1,17.1,21.3,"342,776.00"
833,"Douglas County,  Georgia",30.8,24.2,38,
834,"Douglas County,  Illinois",30.8,19.7,45.6,
835,"Douglas County,  Kansas",28.2,26.3,30.2,
836,"Douglas County,  Minnesota",32.6,28,37.2,
837,"Douglas County,  Missouri",30.2,21.2,40.9,
838,"Douglas County,  Nebraska",29.9,28.5,31.3,"566,880.00"
839,"Douglas County,  Nevada",24.5,20.3,29,
840,"Douglas County,  Oregon",31.1,26.6,35.7,
841,"Douglas County,  South Dakota",28.7,19.1,40.4,
842,"Douglas County,  Washington",32.6,26.6,39.5,
843,"Douglas County,  Wisconsin",30.4,22.5,38.6,
844,"Doña Ana County,  New Mexico",28.6,25.3,32.1,
845,"Drew County,  Arkansas",40.9,31.8,50.7,
846,"Dubois County,  Indiana",28.7,22.9,34.9,
847,"Dubuque County,  Iowa",33.3,29,38.1,
848,"Duchesne County,  Utah",29.6,26.2,33.2,
849,"Dukes County,  Massachusetts",26,18.9,34.5,
850,"Dundy County,  Nebraska",34.6,27.1,42.9,
851,"Dunklin County,  Missouri",41.6,35.9,47.2,
852,"Dunn County,  North Dakota",32.4,25.5,40.2,
853,"Dunn County,  Wisconsin",41.9,34.1,50.4,
854,"Dupage County,  Illinois",26.4,23.4,29.3,
855,"Duplin County,  North Carolina",39.7,30.6,49.2,
856,"Durham County,  North Carolina",24.7,21.1,28.5,"316,739.00"
857,"Dutchess County,  New York",26.4,23.1,29.5,"293,718.00"
858,"Duval County,  Florida",31.1,29,33.3,"950,181.00"
859,"Duval County,  Texas",25.8,15.2,40,
860,"Dyer County,  Tennessee",40.7,33,48.1,
861,"Eagle County,  Colorado",12.7,9.5,16.3,
862,"Early County,  Georgia",43.6,27.8,59.7,
863,"East Baton Rouge Parish,  Louisiana",31.9,29.1,34.9,"440,956.00"
864,"East Carroll Parish,  Louisiana",39.8,27.9,53,
865,"East Feliciana Parish,  Louisiana",34.6,23.8,45.7,
866,"Eastland County,  Texas",34.9,21.6,49.5,
867,"Eaton County,  Michigan",36.9,31.1,42.8,
868,"Eau Claire County,  Wisconsin",30.8,25.1,37,
869,"Echols County,  Georgia",27.6,16.6,42.3,
870,"Ector County,  Texas",32.2,25.2,40.3,
871,"Eddy County,  New Mexico",34.5,29.8,39.9,
872,"Eddy County,  North Dakota",31.1,23.6,39.8,
873,"Edgar County,  Illinois",30.4,19.5,43.5,
874,"Edgecombe County,  North Carolina",37.3,26.7,48.1,
875,"Edgefield County,  South Carolina",38.5,32.4,44.9,
876,"Edmonson County,  Kentucky",36.1,26.7,45.9,
877,"Edmunds County,  South Dakota",30.3,21.4,39.8,
878,"Edwards County,  Illinois",29.6,18.3,42.3,
879,"Edwards County,  Kansas",38.7,27.9,49.9,
880,"Edwards County,  Texas",26.4,15.3,41.4,
881,"Effingham County,  Georgia",39.8,30.3,50.8,
882,"Effingham County,  Illinois",26.5,18.2,36.9,
883,"El Dorado County,  California",21.5,16.6,26.8,
884,"El Paso County,  Colorado",22.2,20.7,23.7,"713,856.00"
885,"El Paso County,  Texas",28.5,24.4,32.8,"840,758.00"
886,"Elbert County,  Colorado",27,21.9,32.7,
887,"Elbert County,  Georgia",40.5,27.3,54.7,
888,"Elk County,  Kansas",33.2,24.8,41.7,
889,"Elk County,  Pennsylvania",25.3,18.2,33.7,
890,"Elkhart County,  Indiana",33.5,29.5,37.7,
891,"Elko County,  Nevada",28.7,24.5,33.3,
892,"Elliott County,  Kentucky",39.9,30.8,50,
893,"Ellis County,  Kansas",30,26,34.2,
894,"Ellis County,  Oklahoma",36.7,24.7,49.1,
895,"Ellis County,  Texas",38,34.5,41.6,
896,"Ellsworth County,  Kansas",36.9,28.7,45.3,
897,"Elmore County,  Alabama",34.3,28.4,41,
898,"Elmore County,  Idaho",35.3,26.9,43.9,
899,"Emanuel County,  Georgia",27.5,16.9,40.1,
900,"Emery County,  Utah",30.8,26,35.9,
901,"Emmet County,  Iowa",40.5,30.5,50.8,
902,"Emmet County,  Michigan",26.4,20.2,33.5,
903,"Emmons County,  North Dakota",25,18.8,32.7,
904,"Emporia City,  Virginia",25.9,10.6,47.4,
905,"Erath County,  Texas",26,16.6,37.7,
906,"Erie County,  New York",29.7,27.5,32.3,"919,719.00"
907,"Erie County,  Ohio",33.4,27.9,39,
908,"Erie County,  Pennsylvania",34.3,30.5,38.4,"272,061.00"
909,"Escambia County,  Alabama",39.6,32.6,46.4,
910,"Escambia County,  Florida",29.2,26.3,32.3,"315,534.00"
911,"Esmeralda County,  Nevada",27.5,16.4,41.2,
912,"Essex County,  Massachusetts",24.5,22.6,26.7,"790,638.00"
913,"Essex County,  New Jersey",28.8,26.9,30.9,"799,767.00"
914,"Essex County,  New York",29,24.9,33.5,
915,"Essex County,  Vermont",27.9,23.3,32.7,
916,"Essex County,  Virginia",40.3,29.2,51.6,
917,"Estill County,  Kentucky",40.3,30.1,50.5,
918,"Etowah County,  Alabama",35.7,31.5,40.2,
919,"Eureka County,  Nevada",21.3,13.3,32.9,
920,"Evangeline Parish,  Louisiana",39.3,28.9,49.3,
921,"Evans County,  Georgia",31.2,18.7,47.4,
922,"Fairbanks North Star Borough,  Alaska",30,27.6,32.8,
923,"Fairfax City,  Virginia",23.8,19.1,28.6,
924,"Fairfax County,  Virginia",21.3,19.3,23.3,"1,150,795.00"
925,"Fairfield County,  Connecticut",20.8,19.8,21.9,"943,823.00"
926,"Fairfield County,  Ohio",31.8,26.9,37,
927,"Fairfield County,  South Carolina",42.4,34.6,50.8,
928,"Fajardo Municipio,  Puerto Rico",No Data,No Data,No Data,
929,"Fall River County,  South Dakota",32.5,23.7,42.3,
930,"Fallon County,  Montana",35.2,26.6,44.4,
931,"Falls Church City,  Virginia",18.4,11.8,28.1,
932,"Falls County,  Texas",39.7,25.6,56.2,
933,"Fannin County,  Georgia",25.3,17.9,34.7,
934,"Fannin County,  Texas",29.9,18.3,44.2,
935,"Faribault County,  Minnesota",32.8,26.3,39.9,
936,"Faulk County,  South Dakota",36.7,25.5,49.7,
937,"Faulkner County,  Arkansas",35.2,29.9,40.5,
938,"Fauquier County,  Virginia",28,22.5,34,
939,"Fayette County,  Alabama",41.6,33.2,49.7,
940,"Fayette County,  Georgia",28.8,22.1,36.5,
941,"Fayette County,  Illinois",23.5,15.4,34.7,
942,"Fayette County,  Indiana",37.6,29.7,45.6,
943,"Fayette County,  Iowa",33.3,25.9,41.1,
944,"Fayette County,  Kentucky",26.7,23.9,29.6,"323,780.00"
945,"Fayette County,  Ohio",36.1,29,43.8,
946,"Fayette County,  Pennsylvania",39.7,33.3,46,
947,"Fayette County,  Tennessee",35,26.5,43.7,
948,"Fayette County,  Texas",20.5,13,30.4,
949,"Fayette County,  West Virginia",40.3,35.9,44.7,
950,"Fentress County,  Tennessee",26.2,18.6,34.6,
951,"Fergus County,  Montana",30.7,24.7,37.7,
952,"Ferry County,  Washington",30.3,22.7,38.4,
953,"Fillmore County,  Minnesota",27.8,22.4,33.6,
954,"Fillmore County,  Nebraska",32.1,26.3,38.7,
955,"Finney County,  Kansas",36.1,32.1,40.6,
956,"Fisher County,  Texas",22.4,13.7,36.4,
957,"Flagler County,  Florida",26,22.6,29.9,
958,"Flathead County,  Montana",21.2,18.2,24.3,
959,"Fleming County,  Kentucky",33.9,27,41.8,
960,"Florence County,  South Carolina",38.4,35.3,41.8,
961,"Florence County,  Wisconsin",33.3,23.6,45.2,
962,"Florida Municipio,  Puerto Rico",No Data,No Data,No Data,
963,"Floyd County,  Georgia",37.8,29.5,46,
964,"Floyd County,  Indiana",34.6,29.3,40.1,
965,"Floyd County,  Iowa",41.3,32.9,50,
966,"Floyd County,  Kentucky",41.2,36.2,46.3,
967,"Floyd County,  Texas",34.8,21.3,49.3,
