Location,Population,Lower Limit,Upper Limit
"Summit County,  Ohio",541918.0,26.5,33
"Pasco County,  Florida",539630.0,28.8,35.3
"Kane County,  Illinois",534216.0,24.7,32.4
"Guilford County,  North Carolina",533670.0,29.7,37.2
"Montgomery County,  Ohio",532331.0,30,36.5
"Chester County,  Pennsylvania",522046.0,17.9,26
"Plymouth County,  Massachusetts",518132.0,25.4,30.1
"Spokane County,  Washington",514631.0,26,29.7
"Greenville County,  South Carolina",514213.0,26.1,30.6
"Sedgwick County,  Kansas",513607.0,32.4,34.7
"Adams County,  Colorado",511868.0,25.7,29.8
"Camden County,  New Jersey",507078.0,28.6,34.2
"Passaic County,  New Jersey",503310.0,24.4,30.1
"Sonoma County,  California",499942.0,18.8,25.9
"Morris County,  New Jersey",494228.0,18,23
"Polk County,  Iowa",487204.0,29.6,33.7
"Lake County,  Indiana",484411.0,32.8,38.2
"Clark County,  Washington",481857.0,27.9,32.4
"Richmond County,  New York",476179.0,24.1,30.1
"Hampden County,  Massachusetts",470406.0,28.6,34
"Ada County,  Idaho",469966.0,23.3,27.3
"Prince William County,  Virginia",468011.0,26.9,33.1
"Seminole County,  Florida",467832.0,23.3,29.4
"Tulare County,  California",465861.0,30.7,44
"Washoe County,  Nevada",465735.0,21.3,25
"Knox County,  Tennessee",465289.0,27.4,34.1
"Onondaga County,  New York",461809.0,26.6,32
"York County,  Pennsylvania",448273.0,27.1,35.4
"Pinal County,  Arizona",447138.0,30.7,35.8
"Solano County,  California",446610.0,25.2,34.7
"Santa Barbara County,  California",446527.0,20.4,29.5
"Burlington County,  New Jersey",445384.0,25.9,31.5
"East Baton Rouge Parish,  Louisiana",440956.0,29.1,34.9
"Monterey County,  California",435594.0,23,32.9
"Jefferson Parish,  Louisiana",434051.0,29.8,36.8
"Lucas County,  Ohio",429899.0,32,37.7
"Sarasota County,  Florida",426718.0,18.6,24.7
"Dakota County,  Minnesota",425423.0,26.1,29.9
"Cameron County,  Texas",423908.0,25.5,36.7
"Berks County,  Pennsylvania",420152.0,30.7,42.2
"Clackamas County,  Oregon",416075.0,25.8,31
"Hillsborough County,  New Hampshire",415247.0,26,29.3
"Richland County,  South Carolina",414576.0,30.3,34.9
"Mobile County,  Alabama",413757.0,34.1,39.1
"Genesee County,  Michigan",406892.0,31.7,37.5
"Loudoun County,  Virginia",406850.0,18.9,25.1
"Charleston County,  South Carolina",405905.0,24.4,28.6
"Waukesha County,  Wisconsin",403072.0,22.4,29.4
"St. Charles County,  Missouri",399182.0,26.2,32.5
"Manatee County,  Florida",394855.0,23.4,30.1
"Placer County,  California",393149.0,16.8,24.2
"Pulaski County,  Arkansas",392680.0,30.6,35.6
"Orleans Parish,  Louisiana",391006.0,26.1,32.9
"Butler County,  Ohio",382378.0,28,36.1
"Orange County,  New York",381951.0,27.1,33.4
"Lane County,  Oregon",379611.0,24.4,29.7
"Forsyth County,  North Carolina",379099.0,29,36.7
"Collier County,  Florida",378488.0,19,24.7
"Allen County,  Indiana",375351.0,29.6,34.9
"Stark County,  Ohio",371574.0,31,38.6
"Washtenaw County,  Michigan",370963.0,22,27
"Brazoria County,  Texas",370200.0,21.4,34.3
"Mercer County,  New Jersey",369811.0,22.9,28.1
"Lehigh County,  Pennsylvania",368100.0,26.5,35.3
"Osceola County,  Florida",367990.0,26.4,33.7
"Madison County,  Alabama",366519.0,29.4,36.5
"Hamilton County,  Tennessee",364286.0,26.3,32.6
"Nueces County,  Texas",362265.0,28.9,36.5
"Marion County,  Florida",359977.0,27.7,34.1
"Lake County,  Florida",356495.0,27.9,34.7
"Bell County,  Texas",355642.0,29.9,40.4
"Anoka County,  Minnesota",353813.0,27.7,31.6
"Davis County,  Utah",351713.0,24.8,28
"Westmoreland County,  Pennsylvania",350611.0,26.7,34.7
"Larimer County,  Colorado",350518.0,18.1,22.1
"Chesterfield County,  Virginia",348556.0,28.5,35
"Marion County,  Oregon",346868.0,30.9,37.1
"Horry County,  South Carolina",344147.0,28.7,33.1
"Douglas County,  Colorado",342776.0,17.1,21.3
"Galveston County,  Texas",337890.0,30.9,36.7
"Cumberland County,  North Carolina",332330.0,30.3,37.7
"Somerset County,  New Jersey",331164.0,19.1,24.2
"Hamilton County,  Indiana",330086.0,23,28.1
"Henrico County,  Virginia",329261.0,28.5,34.7
"Boulder County,  Colorado",326078.0,13.4,17
"Rockland County,  New York",325695.0,19.9,26
"Rutherford County,  Tennessee",324890.0,31.4,40.6
"Fayette County,  Kentucky",323780.0,23.9,29.6
"Howard County,  Maryland",323196.0,22.4,27.3
"St. Lucie County,  Florida",321128.0,26.5,33.7
"Luzerne County,  Pennsylvania",317646.0,25,34.1
"Lancaster County,  Nebraska",317272.0,27.3,30.2
