Location,Population,Lower Limit,Upper Limit,Household Total,Median,Mean
"WorcesterCounty,Massachusetts",830839.0,24.8,28.4,304833,69295,89825
"MiddlesexCounty,NewJersey",829685.0,23.2,28,283661,82375,102689
"MontgomeryCounty,Pennsylvania",828604.0,22.1,28.5,312447,84113,113622
"BaltimoreCounty,Maryland",828431.0,29,32.3,312921,72764,93346
"HamiltonCounty,Ohio",816684.0,26.1,31.1,335907,53229,77511
"SnohomishCounty,Washington",814901.0,27,30.3,286116,78716,95507
"MultnomahCounty,Oregon",811880.0,21.9,25.2,320476,62629,86044
"SuffolkCounty,Massachusetts",807252.0,20,23.4,306790,61796,93319
"EssexCounty,NewJersey",799767.0,26.9,30.9,280734,54277,92032
"OklahomaCounty,Oklahoma",792582.0,28.8,32.4,300690,51078,72437
"EssexCounty,Massachusetts",790638.0,22.6,26.7,289817,73901,100606
"FortBendCounty,Texas",787858.0,23,34.8,230121,90680,119536
"JeffersonCounty,Kentucky",770517.0,30.1,33.6,314161,51991,73595
"SanMateoCounty,California",769545.0,17.6,24.2,263445,108627,156259
"CobbCounty,Georgia",756865.0,25.8,32,277949,70947,94624
"LeeCounty,Florida",754610.0,23.3,29.3,261735,52909,74125
"SanJoaquinCounty,California",752660.0,28.4,36.5,227186,59518,77528
"MonroeCounty,NewYork",742474.0,26.5,31.7,299224,54492,74700
"DenverCounty,Colorado",716492.0,15.8,18.4,292003,61105,90835
"ElPasoCounty,Colorado",713856.0,20.7,23.7,257508,63882,80992
"PolkCounty,Florida",708009.0,34.6,40.9,226429,46355,61587
"NorfolkCounty,Massachusetts",705388.0,20.6,24.5,260609,92696,130123
"LakeCounty,Illinois",700832.0,21.9,28.4,244390,83152,119261
"JacksonCounty,Missouri",700307.0,29.7,33.9,281910,50815,70180
"DavidsonCounty,Tennessee",692587.0,26.7,32.9,281967,54855,78234
"WillCounty,Illinois",692310.0,28.1,35.2,228068,81438,98688
"BernalilloCounty,NewMexico",678701.0,21.4,25.6,262328,50601,69392
"HudsonCounty,NewJersey",676061.0,21.8,26.8,253321,63808,96308
"JeffersonCounty,Alabama",659300.0,32,36.6,261904,50180,74945
"KentCounty,Michigan",653786.0,27.1,31.6,238472,59668,79579
"ArapahoeCounty,Colorado",651215.0,20.3,23.4,235942,70950,96722
"TulsaCounty,Oklahoma",648360.0,29.1,33.2,254473,51325,73613
"ProvidenceCounty,RhodeIsland",636084.0,27.9,30.2,235728,52369,72289
"BucksCounty,Pennsylvania",628195.0,22.5,30.1,234126,79936,106713
"UtahCounty,Utah",622213.0,24.4,27.1,157803,69799,84827
"MonmouthCounty,NewJersey",621354.0,21.8,27.3,230769,90226,120305
"OceanCounty,NewJersey",601651.0,25,30.7,224308,62222,82537
"WashingtonCounty,Oregon",597695.0,27.5,32.1,213820,75634,94948
"JohnsonCounty,Kansas",597555.0,25.9,28,225606,80553,107288
"BrevardCounty,Florida",596849.0,26.8,33.1,226021,51184,70367
"MontgomeryCounty,Texas",590925.0,20.7,31.1,193637,71123,104877
"JeffersonCounty,Colorado",580233.0,18.5,21.6,230890,74186,96855
"AnneArundelCounty,Maryland",576031.0,27,30.9,206956,96483,117437
"DouglasCounty,Nebraska",566880.0,28.5,31.3,214073,58990,81035
"WilliamsonCounty,Texas",566719.0,26.5,33.4,173125,81818,98793
"DelawareCounty,Pennsylvania",564751.0,22.3,30.6,205188,67950,95868
"BristolCounty,Massachusetts",564022.0,26.3,31,214232,66027,84886
"NewCastleCounty,Delaware",559335.0,26.8,30,203782,67274,87144
"UnionCounty,NewJersey",558067.0,22.1,27.3,187922,72028,109955
"RamseyCounty,Minnesota",550210.0,24.7,27.5,208743,60369,81980
"StanislausCounty,California",549815.0,25.9,35.3,172881,54305,73567
"VolusiaCounty,Florida",547538.0,27.1,33.4,214039,45366,60941
"LancasterCounty,Pennsylvania",543557.0,27.4,36.9,196807,61335,79344
"DaneCounty,Wisconsin",542364.0,19.6,25.3,217506,70796,91445
"SummitCounty,Ohio",541918.0,26.5,33,222202,52036,70827
"PascoCounty,Florida",539630.0,28.8,35.3,195628,46264,64970
"KaneCounty,Illinois",534216.0,24.7,32.4,175360,73347,96716
"GuilfordCounty,NorthCarolina",533670.0,29.7,37.2,201520,47262,69367
"MontgomeryCounty,Ohio",532331.0,30,36.5,223131,46936,65800
"ChesterCounty,Pennsylvania",522046.0,17.9,26,187188,92407,125605
"PlymouthCounty,Massachusetts",518132.0,25.4,30.1,184577,82087,103580
"SpokaneCounty,Washington",514631.0,26,29.7,195807,53043,71032
"GreenvilleCounty,SouthCarolina",514213.0,26.1,30.6,187957,55342,75932
"SedgwickCounty,Kansas",513607.0,32.4,34.7,195815,52193,68980
"AdamsCounty,Colorado",511868.0,25.7,29.8,163122,66033,80680
"CamdenCounty,NewJersey",507078.0,28.6,34.2,185512,66362,88390
"PassaicCounty,NewJersey",503310.0,24.4,30.1,163868,62016,86051
"SonomaCounty,California",499942.0,18.8,25.9,187504,73929,97005
"MorrisCounty,NewJersey",494228.0,18,23,181059,106985,143205
"PolkCounty,Iowa",487204.0,29.6,33.7,182537,64067,82405
"LakeCounty,Indiana",484411.0,32.8,38.2,185575,53681,69932
"ClarkCounty,Washington",481857.0,27.9,32.4,169997,69062,89125
"RichmondCounty,NewYork",476179.0,24.1,30.1,164289,77197,95481
"HampdenCounty,Massachusetts",470406.0,28.6,34,178623,51544,69278
"AdaCounty,Idaho",469966.0,23.3,27.3,167026,61301,81878
"PrinceWilliamCounty,Virginia",468011.0,26.9,33.1,139792,97986,113703
"SeminoleCounty,Florida",467832.0,23.3,29.4,167549,61311,81857
"TulareCounty,California",465861.0,30.7,44,135648,45881,61897
"WashoeCounty,Nevada",465735.0,21.3,25,174726,58175,81564
"KnoxCounty,Tennessee",465289.0,27.4,34.1,183889,52102,72285
"OnondagaCounty,NewYork",461809.0,26.6,32,182984,56991,76174
"YorkCounty,Pennsylvania",448273.0,27.1,35.4,169885,62462,75945
"PinalCounty,Arizona",447138.0,30.7,35.8,132352,52555,65692
"SolanoCounty,California",446610.0,25.2,34.7,149172,73900,93929
"SantaBarbaraCounty,California",446527.0,20.4,29.5,142449,67436,93389
"BurlingtonCounty,NewJersey",445384.0,25.9,31.5,165862,80254,105413
"EastBatonRougeParish,Louisiana",440956.0,29.1,34.9,163764,50508,76485
"MontereyCounty,California",435594.0,23,32.9,125740,63876,88289
"JeffersonParish,Louisiana",434051.0,29.8,36.8,170710,49678,70728
"LucasCounty,Ohio",429899.0,32,37.7,180217,44534,63940
"SarasotaCounty,Florida",426718.0,18.6,24.7,176191,54989,79815
"DakotaCounty,Minnesota",425423.0,26.1,29.9,159765,78662,98463
"CameronCounty,Texas",423908.0,25.5,36.7,120499,37061,51206
"BerksCounty,Pennsylvania",420152.0,30.7,42.2,150402,59286,76779
"ClackamasCounty,Oregon",416075.0,25.8,31,154070,74891,99007
"HillsboroughCounty,NewHampshire",415247.0,26,29.3,158777,76254,93120
"RichlandCounty,SouthCarolina",414576.0,30.3,34.9,153376,52030,71025
"MobileCounty,Alabama",413757.0,34.1,39.1,157141,45744,61800
"GeneseeCounty,Michigan",406892.0,31.7,37.5,167171,43955,60115
"LoudounCounty,Virginia",406850.0,18.9,25.1,124916,134464,152447
"CharlestonCounty,SouthCarolina",405905.0,24.4,28.6,156836,56827,85601
"WaukeshaCounty,Wisconsin",403072.0,22.4,29.4,156503,81878,107347
"St.CharlesCounty,Missouri",399182.0,26.2,32.5,143152,80644,96421
"ManateeCounty,Florida",394855.0,23.4,30.1,142465,51748,74782
"PlacerCounty,California",393149.0,16.8,24.2,139104,85426,110245
"PulaskiCounty,Arkansas",392680.0,30.6,35.6,161291,47387,72387
"OrleansParish,Louisiana",391006.0,26.1,32.9,154355,38681,67259
"ButlerCounty,Ohio",382378.0,28,36.1,137314,63273,80568
"OrangeCounty,NewYork",381951.0,27.1,33.4,124365,73025,91061
"LaneCounty,Oregon",379611.0,24.4,29.7,147712,47777,63747
"ForsythCounty,NorthCarolina",379099.0,29,36.7,146219,48271,73006
"CollierCounty,Florida",378488.0,19,24.7,139522,61228,102009
"AllenCounty,Indiana",375351.0,29.6,34.9,142762,51173,67135
"StarkCounty,Ohio",371574.0,31,38.6,152129,50994,66163
"WashtenawCounty,Michigan",370963.0,22,27,140079,65601,94215
"BrazoriaCounty,Texas",370200.0,21.4,34.3,117168,74799,90604
"MercerCounty,NewJersey",369811.0,22.9,28.1,128332,77650,111623
"LehighCounty,Pennsylvania",368100.0,26.5,35.3,139199,60498,82854
"OsceolaCounty,Florida",367990.0,26.4,33.7,97569,51436,61195
"MadisonCounty,Alabama",366519.0,29.4,36.5,143669,60503,85057
"HamiltonCounty,Tennessee",364286.0,26.3,32.6,139615,47898,71471
"NuecesCounty,Texas",362265.0,28.9,36.5,129254,54318,70642
"MarionCounty,Florida",359977.0,27.7,34.1,134239,39383,54181
"LakeCounty,Florida",356495.0,27.9,34.7,128888,50226,62886
"BellCounty,Texas",355642.0,29.9,40.4,119985,52275,68060
"AnokaCounty,Minnesota",353813.0,27.7,31.6,126477,76533,90703
"DavisCounty,Utah",351713.0,24.8,28,103665,76905,93257
"WestmorelandCounty,Pennsylvania",350611.0,26.7,34.7,148238,56722,72166
"LarimerCounty,Colorado",350518.0,18.1,22.1,131407,66469,83934
"ChesterfieldCounty,Virginia",348556.0,28.5,35,122221,76059,92479
"MarionCounty,Oregon",346868.0,30.9,37.1,116787,56550,69379
"HorryCounty,SouthCarolina",344147.0,28.7,33.1,125562,45621,61572
"DouglasCounty,Colorado",342776.0,17.1,21.3,120125,109292,134850
"GalvestonCounty,Texas",337890.0,30.9,36.7,120938,64939,90498
"CumberlandCounty,NorthCarolina",332330.0,30.3,37.7,124014,45205,57267
"SomersetCounty,NewJersey",331164.0,19.1,24.2,116169,104478,142077
"HamiltonCounty,Indiana",330086.0,23,28.1,118521,89823,116274
"HenricoCounty,Virginia",329261.0,28.5,34.7,127930,66337,93035
"BoulderCounty,Colorado",326078.0,13.4,17,123820,74615,105099
"RocklandCounty,NewYork",325695.0,19.9,26,99257,85515,116116
"RutherfordCounty,Tennessee",324890.0,31.4,40.6,111387,61157,75267
"FayetteCounty,Kentucky",323780.0,23.9,29.6,127137,53178,77827
"HowardCounty,Maryland",323196.0,22.4,27.3,112542,120941,144125
"St.LucieCounty,Florida",321128.0,26.5,33.7,111617,44804,58817
"LuzerneCounty,Pennsylvania",317646.0,25,34.1,124118,46580,64446
"LancasterCounty,Nebraska",317272.0,27.3,30.2,122027,58845,76116
"DurhamCounty,NorthCarolina",316739.0,21.1,28.5,123697,53832,77836
"EscambiaCounty,Florida",315534.0,26.3,32.3,118702,44788,60692
"WeldCounty,Colorado",314305.0,26.6,31.3,102087,63400,81031
"SpartanburgCounty,SouthCarolina",313888.0,29.5,35.4,113463,47371,63453
"LorainCounty,Ohio",309461.0,31.6,41.4,117871,54504,74417
"RockinghamCounty,NewHampshire",309176.0,23.6,27.6,119688,81726,105809
"LubbockCounty,Texas",307412.0,29.5,40.4,111975,49136,68557
"AlbanyCounty,NewYork",307117.0,24.2,29.7,125329,61754,83464
"NorthamptonCounty,Pennsylvania",304807.0,26.7,36.4,111760,66438,83297
"LexingtonCounty,SouthCarolina",295032.0,28.7,34.8,110146,57382,75343
"DutchessCounty,NewYork",293718.0,23.1,29.5,108200,74115,99958
"CumberlandCounty,Maine",293557.0,21.2,24.4,118049,65913,86255
"InghamCounty,Michigan",292735.0,28.7,34.7,111779,49139,65974
"LeonCounty,Florida",292502.0,28.2,33.3,112119,51107,70567
"GreeneCounty,Missouri",291923.0,28.8,37.7,121734,42062,59033
"AnchorageMunicipality,Alaska",291538.0,29.3,34.2,105249,85634,106393
"GloucesterCounty,NewJersey",291408.0,27.6,33.2,105436,79879,95344
"OttawaCounty,Michigan",290494.0,23.7,30.6,100425,64513,79662
"ClaytonCounty,Georgia",289615.0,31.9,41.2,94346,45252,55380
"ChathamCounty,Georgia",289195.0,27.6,37,110185,53964,76948
"ThurstonCounty,Washington",286419.0,27.2,32.4,105863,65783,79165
"WinnebagoCounty,Illinois",284081.0,28.2,38.3,114996,49749,65234
"SanLuisObispoCounty,California",284010.0,20.4,30.2,106312,70564,88338
"ClevelandCounty,Oklahoma",281669.0,31.5,38,105102,61288,75465
"DauphinCounty,Pennsylvania",277097.0,28.7,38.1,111260,60331,77859
"WebbCounty,Texas",275910.0,27.5,49.2,73483,35659,53833
"MercedCounty,California",274765.0,22.3,34.4,77713,47739,70672
"SantaCruzCounty,California",274255.0,14.5,23.2,96257,77613,106035
"YorkCounty,SouthCarolina",274118.0,29.4,34.8,98128,60767,79926
"BentonCounty,Arkansas",272608.0,25.8,32.7,94494,63631,83871
"ErieCounty,Pennsylvania",272061.0,30.5,38.4,109705,48964,63819
"St.JosephCounty,Indiana",270771.0,29.5,36.2,97071,48358,64649
"AlachuaCounty,Florida",269956.0,24.4,29.8,94428,45304,63144
"KitsapCounty,Washington",269805.0,27.8,33.8,101995,69171,85625
"NewLondonCounty,Connecticut",266784.0,27.4,31.9,105113,70699,94956
"AtlanticCounty,NewJersey",265429.0,26.1,32.1,96777,56778,77520
"KalamazooCounty,Michigan",264870.0,27.9,35,102336,53138,73094
"MadisonCounty,Illinois",264461.0,31.2,42.7,105465,56035,73318
"BrownCounty,Wisconsin",263378.0,28.5,37,104804,57783,75008
"St.ClairCounty,Illinois",261059.0,31.2,42.7,104782,50267,73193
"MarinCounty,California",259666.0,11.9,20.1,106333,103845,160053
"WashingtonCounty,Minnesota",259201.0,22.2,26.7,92384,90256,109140
"BuncombeCounty,NorthCarolina",259103.0,17.8,25.3,103127,50685,68923
"St.TammanyParish,Louisiana",258111.0,26.3,34.1,92205,64639,84610
"WeberCounty,Utah",256359.0,29.1,33.1,79501,63158,76150
"FrederickCounty,Maryland",255648.0,26.7,30.9,89800,90043,108353
"JeffersonCounty,Texas",255001.0,30.1,40.1,95801,45390,64895
"St.JohnsCounty,Florida",254261.0,19.6,25.8,84187,78581,107338
"CherokeeCounty,Georgia",254149.0,21.5,31.7,84088,77950,97849
"HarfordCounty,Maryland",253956.0,29,35,91813,84175,99781
"YakimaCounty,Washington",251446.0,31.5,38.5,81084,48965,65675
"CumberlandCounty,Pennsylvania",251423.0,23.9,33.9,96906,63530,82236
"ClayCounty,Missouri",246365.0,29.5,36.7,89398,65430,80536
"CaddoParish,Louisiana",242922.0,36.3,44.2,96532,37104,60857
"LafayetteParish,Louisiana",242782.0,26.7,35.2,89130,49969,73667
"ArlingtonCounty,Virginia",237521.0,17,23.3,103479,110388,143507
"HindsCounty,Mississippi",237085.0,33.5,40.7,91065,43657,62946
"WashingtonCounty,Arkansas",236961.0,26.6,33.3,88690,45679,64869
"ForsythCounty,Georgia",236612.0,21.2,32.5,72208,100909,117651
"UnionCounty,NorthCarolina",235908.0,25.8,38,74763,71588,98685
"NewHanoverCounty,NorthCarolina",232274.0,22,30.8,92808,50028,70803
"WarrenCounty,Ohio",232173.0,22.9,32.4,82404,80207,105864
"YavapaiCounty,Arizona",231993.0,19.9,26.1,94962,50420,65804
"WilliamsonCounty,Tennessee",231729.0,16.3,26,73811,106054,137681
"ButteCounty,California",231256.0,22.2,32.7,85531,45177,65703
"LakeCounty,Ohio",230514.0,19.9,30,96325,61870,77742
"SmithCounty,Texas",230221.0,28.4,41.3,75792,52572,68343
"HenryCounty,Georgia",230220.0,29,41.7,74473,66905,82479
"SaratogaCounty,NewYork",230163.0,22.7,28.5,93703,76097,99966
"MahoningCounty,Ohio",229642.0,27.4,36,96998,42295,58567
"OneidaCounty,NewYork",229577.0,29.9,37.2,87929,52996,68695
"SussexCounty,Delaware",229286.0,30.7,34.7,82851,57734,78917
"BrazosCounty,Texas",226758.0,26.2,32.3,78272,41559,71130
"LinnCounty,Iowa",225909.0,31.4,37.7,89173,64639,82094
"MontgomeryCounty,Alabama",225763.0,34,41.2,90827,45395,65678
"WhatcomCounty,Washington",225685.0,25.1,30.9,84011,56411,71154
