NAME,Household Total,Median,Mean
"Broomfield County, Colorado",26269,84349,111621
"Denver County, Colorado",292003,61105,90835
"Douglas County, Colorado",120125,109292,134850
"El Paso County, Colorado",257508,63882,80992
"Jefferson County, Colorado",230890,74186,96855
"Larimer County, Colorado",131407,66469,83934
"Mesa County, Colorado",60188,48846,60280
"Pueblo County, Colorado",62275,44677,59601
"Weld County, Colorado",102087,63400,81031
"Fairfield County, Connecticut",335318,90123,143628
"Hartford County, Connecticut",350369,69433,93118
"Litchfield County, Connecticut",74105,76993,100472
"Middlesex County, Connecticut",66002,79739,109052
"New Haven County, Connecticut",327560,66176,87686
"New London County, Connecticut",105113,70699,94956
"Tolland County, Connecticut",54068,81252,99096
"Windham County, Connecticut",44734,61608,75289
"Kent County, Delaware",64452,54140,66154
"New Castle County, Delaware",203782,67274,87144
"Sussex County, Delaware",82851,57734,78917
"District of Columbia, District of Columbia",281241,75506,114432
"Alachua County, Florida",94428,45304,63144
"Bay County, Florida",70330,49157,65029
"Brevard County, Florida",226021,51184,70367
"Broward County, Florida",681474,54212,79147
"Charlotte County, Florida",75147,44200,65643
"Citrus County, Florida",63581,39206,51521
"Clay County, Florida",74130,56315,74442
"Collier County, Florida",139522,61228,102009
"Columbia County, Florida",24215,42019,63101
"Duval County, Florida",353946,51980,69765
"Escambia County, Florida",118702,44788,60692
"Flagler County, Florida",41311,49395,63011
"Hernando County, Florida",74262,47253,59673
"Highlands County, Florida",38808,36490,48800
"Hillsborough County, Florida",514487,54588,76656
"Indian River County, Florida",55427,49072,79585
"Lake County, Florida",128888,50226,62886
"Lee County, Florida",261735,52909,74125
"Leon County, Florida",112119,51107,70567
"Manatee County, Florida",142465,51748,74782
"Marion County, Florida",134239,39383,54181
"Martin County, Florida",62976,54620,86713
"Miami-Dade County, Florida",880766,45935,71914
"Monroe County, Florida",30318,65717,87296
"Nassau County, Florida",30547,71515,90747
"Okaloosa County, Florida",76102,60026,77492
"Orange County, Florida",468515,51335,73013
"Osceola County, Florida",97569,51436,61195
"Palm Beach County, Florida",536446,57580,89403
"Pasco County, Florida",195628,46264,64970
"Pinellas County, Florida",407268,50036,71244
"Polk County, Florida",226429,46355,61587
"Putnam County, Florida",28025,38239,48699
"St. Johns County, Florida",84187,78581,107338
"St. Lucie County, Florida",111617,44804,58817
"Santa Rosa County, Florida",61817,63619,80033
"Sarasota County, Florida",176191,54989,79815
"Seminole County, Florida",167549,61311,81857
"Sumter County, Florida",51781,54562,68118
